split_type,cell_line,heldout_drug,heldout_MoA,observed_library_fraction,information_condition_mode,subpopulation_variance_ratio,isotropy_index,response_diversity,mean_energy_disagreement,bootstrap_rank_stability,preference_conflict_topk,structure_reliability_score,recommendation_mode,seed
leave_drug_out,A549,Andarine,Endocrinology & Hormones,1.0,observed,0.0353168020952878,1.5512374000075725e-42,0.5999655749450377,0.33689839572192515,0.2,0.5949152542372882,0.363861402283041,mean_or_no_call,1
leave_drug_out,A549,Regorafenib (BAY 73-4506),Protein Tyrosine Kinase,1.0,observed,0.029945303613196857,2.0879347118439774e-43,0.6179947098775125,0.42927172878822445,0.6,0.6282485875706214,0.5418804869032203,DART_recommended,1
leave_drug_out,A549,AG-14361,DNA Damage,1.0,observed,0.02649908088226523,1.1224400699241785e-42,0.5864116971576634,0.4645506296360186,0.2,0.6056497175141243,0.38073113273516856,mean_or_no_call,1
leave_drug_out,A549,Tofacitinib (CP-690550) Citrate,JAK/STAT,1.0,observed,0.026719435034475977,1.1770907100328463e-42,0.5777523358982413,0.3479960899315738,0.2,0.5740112994350283,0.3397321701693029,mean_or_no_call,1
leave_drug_out,A549,"Temsirolimus (CCI-779, NSC 683864)",PI3K/Akt/mTOR,1.0,observed,0.02344637052077292,9.795076265630471e-43,0.5947454557945979,0.32465068138692427,0.6,0.45310734463276836,0.483441395627202,DART_recommended,1
leave_drug_out,A549,Alendronate sodium trihydrate,Others,1.0,observed,0.03161341735431329,1.7095841264762768e-43,0.5937711997487437,0.4333850842389742,0.4,0.6135593220338983,0.46590215152145525,DART_recommended,1
leave_drug_out,A549,Divalproex Sodium,Ubiquitin,1.0,observed,0.02971752122194054,2.3023333768856744e-42,0.5787724756595478,0.43246506813869245,0.4,0.6062146892655367,0.45839258508031877,DART_recommended,1
leave_drug_out,A549,GSK-LSD1 2HCl,Epigenetics,1.0,observed,0.030140988658064725,4.035739577255473e-43,0.6061853702104272,0.33166580415157265,0.2,0.5299435028248588,0.34712453444828734,mean_or_no_call,1
leave_drug_out,A549,Aurora A Inhibitor I,Cell Cycle,1.0,observed,0.034844703791913186,4.203895392974451e-45,0.5950694389918342,0.5437295152665171,0.6,0.6711864406779661,0.594346385618204,DART_recommended,1
leave_drug_out,A549,Curcumin,Epigenetics,1.0,observed,0.02753803308360289,3.186552707874634e-42,0.5819994503768844,0.33166580415157265,0.4,0.5384180790960452,0.41689707574154755,DART_recommended,1
leave_drug_out,A549,Tucidinostat (Chidamide),Epigenetics,1.0,observed,0.032712425075722903,7.002288426231111e-42,0.6034149752669598,0.4971537001897533,0.8,0.6491525423728813,0.6524825678202784,DART_recommended,1
leave_drug_out,A549,SL-327,MAPK,1.0,observed,0.026636308261696467,3.301459181949269e-42,0.622334082521985,0.37901440436619854,0.8,0.5172365081761015,0.5947973745654574,DART_recommended,1
