cell_line,drug,G_oracle_vs_cos,corrected_flip_oracle_vs_cos,reverse_flip_oracle_vs_cos,RR_ref_oracle_vs_cos,RR_pop_oracle_vs_cos,G_oracle_vs_l2,corrected_flip_oracle_vs_l2,reverse_flip_oracle_vs_l2,RR_ref_oracle_vs_l2,RR_pop_oracle_vs_l2,A_sup,A_unsup,G_gap,S_int,S_main,interaction_share,R_int,D_old,norm_r_G1,norm_r_G2M,n_treated_G1,n_treated_G2M,G_pred_average_effect,G_pred_linear_latent,G_pred_nearest_context,G_pred_nearest_context_cells,G_pred_ot_map,H,H_l2,log_S_int
A-172,Alpelisib,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.8333333333333334,0.5583333333333333,0.275,6.616967827236901e-05,0.0008484429214149,0.0723472192434141,0.1146923142506401,0.1705157176741677,1.5250427722930908,1.5086077451705933,753,438,0.0,0.0,-0.6596408240715641,-0.5072822218039609,0.13333333333333336,0.0,0.0,-4.179340976960976
A-172,Anastrozole,0.1,0.2,0.0,0.8,0.9,-0.1,0.0,0.2,1.0,0.9,0.7183333333333334,0.5333333333333333,0.185,-2.147789637092501e-05,0.0002499704895954,-0.093998217044241,-0.0259466946410396,0.3290222637616734,0.9407718181610109,0.912922203540802,677,507,0.0,0.0,0.15,0.13333333333333336,0.21000000000000002,0.19999999999999996,0.0,-8.0
A-172,BAY1125976,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.9366666666666666,0.5016666666666667,0.4349999999999999,0.0004624122934829,0.0015045759992467,0.2350864492646638,0.5059871087566401,0.2001496741398332,1.9925737380981443,2.00230073928833,1863,624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3349706284784957
A-172,BI-3406,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.9316666666666666,0.53,0.4016666666666666,0.0003718612612121,0.002090784928037,0.151000684887475,0.4322432593865657,0.1322572586604323,2.371431827545166,2.2367703914642334,1868,710,0.0,0.0,-0.04999999999999999,0.1,-0.06000000000000001,0.0,0.0,-3.4296190620769393
A-172,BI-78D3,0.1,0.2,0.0,0.9,1.0,0.0,0.0,0.0,1.0,1.0,0.7483333333333333,0.5383333333333333,0.2099999999999999,4.931027376894943e-05,0.0004213830585488,0.1047609353762027,0.1019365778259469,0.2467914981549637,1.162603735923767,1.079618215560913,1204,687,0.0,0.1,0.16,0.3,-0.05,0.09999999999999998,0.0,-4.307062586274094
A-172,Belumosudil (mesylate),0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.8966666666666666,0.6383333333333333,0.2583333333333333,0.0004551843015684,0.00123590460668,0.2691663929366393,0.4519615031923902,0.2470156854618818,1.8549566268920896,1.848136305809021,612,238,0.03333333333333334,0.15,-0.23333333333333334,-0.5266666666666667,0.06388770057327225,0.0,0.0,-3.3418127243365845
A-172,Belzutifan,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.895,0.5316666666666667,0.3633333333333333,0.0006418615217424,0.0010104879426459,0.3884538565091042,0.5083224647479176,0.3580561291314427,1.7978026866912842,1.703879475593567,545,174,0.0,0.0,-0.9600874166091558,-0.9474498746867168,0.0,0.0,0.0,-3.192558658582478
A-172,Bentamapimod,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.875,0.57,0.305,0.000134017459479,0.0007588712498545,0.1500942481164048,0.2321004691414307,0.1916086272700852,1.544003129005432,1.3385697603225708,792,580,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,-3.8728386190870845
A-172,Bimiralisib,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.97,0.845,0.125,0.0007274952613645,0.0034400807900561,0.1745607644320073,0.6083574262544102,0.1152292784669671,3.1827073097229004,2.662942409515381,3330,780,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,-3.138169831166731
A-172,Binimetinib,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.9566666666666668,0.66,0.2966666666666666,0.0004565785949428,0.0026535793518026,0.1468023819885571,0.4441851665765399,0.1207564433931478,2.743732452392578,2.4283993244171143,651,226,0.0,0.0,-0.1,-0.1,0.1,0.0,0.0,-3.3404844527146635
