pair,drug,seed,predictor,synth,induced_response_cosine
K562+A549,AC480 (BMS-599626),7,scgen,cells,0.2155691397097273
K562+A549,AC480 (BMS-599626),7,average_effect,gaussian,
K562+A549,AC480 (BMS-599626),7,nearest_neighbor,gaussian,
K562+A549,AC480 (BMS-599626),7,scgen,gaussian,
K562+A549,AG-14361,0,real_blend,real,-0.02123786786396553
K562+A549,AG-14361,0,average_effect,cells,0.023770097562679487
K562+A549,AG-14361,0,nearest_neighbor,cells,0.06567620633546022
K562+A549,AG-14361,0,scgen,cells,0.002752739672491539
K562+A549,AG-14361,0,average_effect,gaussian,
K562+A549,AG-14361,0,nearest_neighbor,gaussian,
K562+A549,AG-14361,0,scgen,gaussian,
K562+A549,AG-14361,1,real_blend,real,-0.006178868400202266
K562+A549,AG-14361,1,average_effect,cells,0.1003725903518456
K562+A549,AG-14361,1,nearest_neighbor,cells,0.12445706056271709
K562+A549,AG-14361,1,scgen,cells,0.14515221872272763
K562+A549,AG-14361,1,average_effect,gaussian,
K562+A549,AG-14361,1,nearest_neighbor,gaussian,
K562+A549,AG-14361,1,scgen,gaussian,
K562+A549,AG-14361,2,real_blend,real,0.02528808679606851
K562+A549,AG-14361,2,average_effect,cells,0.06947712975108351
K562+A549,AG-14361,2,nearest_neighbor,cells,0.09005723710981484
K562+A549,AG-14361,2,scgen,cells,0.06574005778715687
K562+A549,AG-14361,2,average_effect,gaussian,
K562+A549,AG-14361,2,nearest_neighbor,gaussian,
K562+A549,AG-14361,2,scgen,gaussian,
K562+A549,AG-14361,3,real_blend,real,0.00021559791907454665
K562+A549,AG-14361,3,average_effect,cells,0.04581399137680136
K562+A549,AG-14361,3,nearest_neighbor,cells,0.09598151034185186
K562+A549,AG-14361,3,scgen,cells,-0.0068549931542344214
K562+A549,AG-14361,3,average_effect,gaussian,
K562+A549,AG-14361,3,nearest_neighbor,gaussian,
K562+A549,AG-14361,3,scgen,gaussian,
K562+A549,AG-14361,4,real_blend,real,-0.03191511348471548
K562+A549,AG-14361,4,average_effect,cells,0.09773310212545445
K562+A549,AG-14361,4,nearest_neighbor,cells,0.09902851205204008
K562+A549,AG-14361,4,scgen,cells,0.08179482241594953
K562+A549,AG-14361,4,average_effect,gaussian,
K562+A549,AG-14361,4,nearest_neighbor,gaussian,
K562+A549,AG-14361,4,scgen,gaussian,
K562+A549,AG-14361,5,real_blend,real,-0.01914910815620012
K562+A549,AG-14361,5,average_effect,cells,0.04922405633077273
K562+A549,AG-14361,5,nearest_neighbor,cells,0.07882660916735224
K562+A549,AG-14361,5,scgen,cells,-0.1034801132774736
K562+A549,AG-14361,5,average_effect,gaussian,
K562+A549,AG-14361,5,nearest_neighbor,gaussian,
K562+A549,AG-14361,5,scgen,gaussian,
K562+A549,AG-14361,6,real_blend,real,-0.014456248128255245
K562+A549,AG-14361,6,average_effect,cells,0.014160972781833687
K562+A549,AG-14361,6,nearest_neighbor,cells,0.03559884621938524
K562+A549,AG-14361,6,scgen,cells,-0.03731738406201106
K562+A549,AG-14361,6,average_effect,gaussian,
K562+A549,AG-14361,6,nearest_neighbor,gaussian,
K562+A549,AG-14361,6,scgen,gaussian,
K562+A549,AG-14361,7,real_blend,real,0.09152982940741815
K562+A549,AG-14361,7,average_effect,cells,0.07904685061956598
K562+A549,AG-14361,7,nearest_neighbor,cells,0.12483386507502048
K562+A549,AG-14361,7,scgen,cells,0.12100487937470807
K562+A549,AG-14361,7,average_effect,gaussian,
K562+A549,AG-14361,7,nearest_neighbor,gaussian,
K562+A549,AG-14361,7,scgen,gaussian,
K562+A549,AG-490 (Tyrphostin B42),0,real_blend,real,0.028112728265524797
K562+A549,AG-490 (Tyrphostin B42),0,average_effect,cells,0.04806306170107173
K562+A549,AG-490 (Tyrphostin B42),0,nearest_neighbor,cells,0.05885413460327738
K562+A549,AG-490 (Tyrphostin B42),0,scgen,cells,0.11790511284963026
K562+A549,AG-490 (Tyrphostin B42),0,average_effect,gaussian,
K562+A549,AG-490 (Tyrphostin B42),0,nearest_neighbor,gaussian,
K562+A549,AG-490 (Tyrphostin B42),0,scgen,gaussian,
K562+A549,AG-490 (Tyrphostin B42),1,real_blend,real,0.02734927974782091
K562+A549,AG-490 (Tyrphostin B42),1,average_effect,cells,0.0319602192347105
K562+A549,AG-490 (Tyrphostin B42),1,nearest_neighbor,cells,0.08407811410975008
K562+A549,AG-490 (Tyrphostin B42),1,scgen,cells,0.08621651817342375
K562+A549,AG-490 (Tyrphostin B42),1,average_effect,gaussian,
K562+A549,AG-490 (Tyrphostin B42),1,nearest_neighbor,gaussian,
K562+A549,AG-490 (Tyrphostin B42),1,scgen,gaussian,
K562+A549,AG-490 (Tyrphostin B42),2,real_blend,real,0.03166398398313797
K562+A549,AG-490 (Tyrphostin B42),2,average_effect,cells,0.1150442276262211
K562+A549,AG-490 (Tyrphostin B42),2,nearest_neighbor,cells,0.0971824540469116
K562+A549,AG-490 (Tyrphostin B42),2,scgen,cells,0.2436099244007112
K562+A549,AG-490 (Tyrphostin B42),2,average_effect,gaussian,
K562+A549,AG-490 (Tyrphostin B42),2,nearest_neighbor,gaussian,
K562+A549,AG-490 (Tyrphostin B42),2,scgen,gaussian,
K562+A549,AG-490 (Tyrphostin B42),3,real_blend,real,-0.015554557985687783
K562+A549,AG-490 (Tyrphostin B42),3,average_effect,cells,0.04681062841462095
K562+A549,AG-490 (Tyrphostin B42),3,nearest_neighbor,cells,0.0703751840701699
K562+A549,AG-490 (Tyrphostin B42),3,scgen,cells,0.14286784014532478
K562+A549,AG-490 (Tyrphostin B42),3,average_effect,gaussian,
K562+A549,AG-490 (Tyrphostin B42),3,nearest_neighbor,gaussian,
K562+A549,AG-490 (Tyrphostin B42),3,scgen,gaussian,
K562+A549,AG-490 (Tyrphostin B42),4,real_blend,real,0.06821583957167142
K562+A549,AG-490 (Tyrphostin B42),4,average_effect,cells,0.13454060982251567
K562+A549,AG-490 (Tyrphostin B42),4,nearest_neighbor,cells,0.10193184521607698
K562+A549,AG-490 (Tyrphostin B42),4,scgen,cells,0.19553538833951867
K562+A549,AG-490 (Tyrphostin B42),4,average_effect,gaussian,
K562+A549,AG-490 (Tyrphostin B42),4,nearest_neighbor,gaussian,
K562+A549,AG-490 (Tyrphostin B42),4,scgen,gaussian,
K562+A549,AG-490 (Tyrphostin B42),5,real_blend,real,-0.050563795963661874
K562+A549,AG-490 (Tyrphostin B42),5,average_effect,cells,0.028732149020538885
K562+A549,AG-490 (Tyrphostin B42),5,nearest_neighbor,cells,0.015494968442488825
K562+A549,AG-490 (Tyrphostin B42),5,scgen,cells,-0.013816542005203781
K562+A549,AG-490 (Tyrphostin B42),5,average_effect,gaussian,
K562+A549,AG-490 (Tyrphostin B42),5,nearest_neighbor,gaussian,
K562+A549,AG-490 (Tyrphostin B42),5,scgen,gaussian,
K562+A549,AG-490 (Tyrphostin B42),6,real_blend,real,-0.08997827026083886
K562+A549,AG-490 (Tyrphostin B42),6,average_effect,cells,0.07552631305818377
K562+A549,AG-490 (Tyrphostin B42),6,nearest_neighbor,cells,0.0676811243532935
K562+A549,AG-490 (Tyrphostin B42),6,scgen,cells,0.1834249323977804
K562+A549,AG-490 (Tyrphostin B42),6,average_effect,gaussian,
K562+A549,AG-490 (Tyrphostin B42),6,nearest_neighbor,gaussian,
K562+A549,AG-490 (Tyrphostin B42),6,scgen,gaussian,
K562+A549,AG-490 (Tyrphostin B42),7,real_blend,real,-0.02027993166389649
K562+A549,AG-490 (Tyrphostin B42),7,average_effect,cells,0.13526431030769
K562+A549,AG-490 (Tyrphostin B42),7,nearest_neighbor,cells,0.12578520546040295
K562+A549,AG-490 (Tyrphostin B42),7,scgen,cells,0.2558795781812664
K562+A549,AG-490 (Tyrphostin B42),7,average_effect,gaussian,
K562+A549,AG-490 (Tyrphostin B42),7,nearest_neighbor,gaussian,
K562+A549,AG-490 (Tyrphostin B42),7,scgen,gaussian,
K562+A549,AICAR (Acadesine),0,real_blend,real,-0.012634073974923502
K562+A549,AICAR (Acadesine),0,average_effect,cells,0.02564417212459202
K562+A549,AICAR (Acadesine),0,nearest_neighbor,cells,0.03400431665218035
K562+A549,AICAR (Acadesine),0,scgen,cells,-0.028314082113531615
K562+A549,AICAR (Acadesine),0,average_effect,gaussian,
K562+A549,AICAR (Acadesine),0,nearest_neighbor,gaussian,
K562+A549,AICAR (Acadesine),0,scgen,gaussian,
K562+A549,AICAR (Acadesine),1,real_blend,real,-0.0023560479476492156
K562+A549,AICAR (Acadesine),1,average_effect,cells,0.04844483578516012
K562+A549,AICAR (Acadesine),1,nearest_neighbor,cells,0.08212124927522167
K562+A549,AICAR (Acadesine),1,scgen,cells,0.11656315036736398
K562+A549,AICAR (Acadesine),1,average_effect,gaussian,
K562+A549,AICAR (Acadesine),1,nearest_neighbor,gaussian,
K562+A549,AICAR (Acadesine),1,scgen,gaussian,
K562+A549,AICAR (Acadesine),2,real_blend,real,0.04861339723147576
K562+A549,AICAR (Acadesine),2,average_effect,cells,0.07447971676868821
K562+A549,AICAR (Acadesine),2,nearest_neighbor,cells,0.1135694424295694
K562+A549,AICAR (Acadesine),2,scgen,cells,-0.002729237154827852
K562+A549,AICAR (Acadesine),2,average_effect,gaussian,
