cell_line,drug,n_per_arm,A_sup,A_unsup,G
A-427,Minodronic acid,300,0.7166666666666667,0.53,0.18666666666666665
A-427,NG25,300,0.95,0.7183333333333334,0.23166666666666658
A-427,NVP-BHG712,300,0.7583333333333333,0.56,0.19833333333333325
A-427,OTS514,300,0.7516666666666667,0.5183333333333333,0.2333333333333334
A-427,Oleic acid,300,0.5933333333333334,0.5366666666666666,0.056666666666666754
A-427,Oxaliplatin,300,0.6516666666666666,0.515,0.1366666666666666
A-427,PF-06260933,300,0.8683333333333333,0.665,0.20333333333333325
A-427,PH-797804,171,0.9736842105263158,0.956140350877193,0.01754385964912286
A-427,Paclitaxel,300,0.875,0.57,0.30500000000000005
A-427,Pemigatinib,300,0.6533333333333333,0.5816666666666667,0.07166666666666666
A-427,Pimitespib,300,0.6666666666666666,0.5133333333333333,0.15333333333333332
A-427,Pralsetinib,300,0.8216666666666667,0.5316666666666667,0.2899999999999999
A-427,RMC-6236,300,0.9533333333333334,0.8033333333333333,0.15000000000000002
A-427,Ralimetinib dimesylate,300,0.7833333333333333,0.5716666666666667,0.21166666666666667
A-427,Regorafenib,300,0.8633333333333333,0.55,0.31333333333333324
A-427,SBI-0640756,300,0.6666666666666666,0.535,0.1316666666666666
A-427,Sapanisertib,300,0.8766666666666667,0.7616666666666667,0.11499999999999999
A-427,Sonidegib,282,0.7145390070921985,0.5886524822695036,0.1258865248226949
A-427,TAK-733,300,0.87,0.575,0.29500000000000004
A-427,TAK-901,154,0.9967532467532467,0.974025974025974,0.022727272727272707
A-427,Temuterkib,300,0.8233333333333334,0.5533333333333333,0.27
A-427,Tomivosertib,300,0.7333333333333333,0.5966666666666667,0.1366666666666666
A-427,Torkinib,194,0.7654639175257731,0.5489690721649485,0.21649484536082464
A-427,Trametinib,300,0.9616666666666667,0.8166666666666667,0.14500000000000002
A-427,Tubulin inhibitor 6,300,0.715,0.5466666666666666,0.16833333333333333
A-427,Tucatinib,300,0.7416666666666667,0.535,0.20666666666666667
A-427,ULK-101,300,0.735,0.5016666666666667,0.23333333333333328
A-427,Vemurafenib,300,0.7583333333333333,0.5666666666666667,0.19166666666666665
A-427,Volasertib,300,0.66,0.51,0.15000000000000002
A-427,XRK3F2,300,0.8466666666666667,0.6633333333333333,0.18333333333333335
A-427,c-Kit-IN-1,263,0.8555133079847909,0.6045627376425855,0.25095057034220536
A-427,olaparib,300,0.8133333333333334,0.5433333333333333,0.27
A-427,palbociclib,300,0.8266666666666667,0.56,0.2666666666666666
A-427,venetoclax,199,0.949748743718593,0.6432160804020101,0.3065326633165829
A-427,vincristine,300,0.8533333333333334,0.56,0.29333333333333333
A498,4EGI-1,300,0.825,0.5483333333333333,0.2766666666666666
A498,9-ING-41,300,0.7883333333333333,0.5566666666666666,0.2316666666666667
A498,APTO-253,300,0.7583333333333333,0.5316666666666666,0.22666666666666668
A498,AT7519,300,0.69,0.5133333333333333,0.17666666666666664
A498,AZD-7648,300,0.8866666666666667,0.61,0.2766666666666667
