cell_line,drug,n_treated_G1,n_treated_G2M,n_vehicle_G1,n_vehicle_G2M,induced_cosine,D,norm_r_G1,norm_r_G2M
A-172,Capivasertib,433,311,1732,1027,0.7876794790604634,0.21232052093953657,1.0171728134155273,1.0573798418045044
A-172,Capmatinib,500,266,1732,1027,0.9048042896217902,0.09519571037820984,1.969520926475525,1.9126567840576172
A-172,Celecoxib,535,450,1732,1027,0.7432378906330285,0.2567621093669715,0.9551385641098022,0.9155367612838745
A-172,DT-061,380,364,1732,1027,0.8153186283775633,0.1846813716224367,1.1310160160064697,1.0860151052474976
A-172,DTP3,479,379,1732,1027,0.8419672743918963,0.15803272560810366,1.5487546920776367,1.483760952949524
A-172,Dabrafenib,2579,826,1732,1027,0.8368155356308341,0.1631844643691659,1.6209253072738647,1.5949801206588745
A-172,ERK5-IN-2,1917,633,1732,1027,0.825596612858826,0.17440338714117398,2.183668613433838,2.2838683128356934
A-172,ETC-206,751,495,1732,1027,0.7244762318501777,0.27552376814982227,0.811341404914856,0.8521361947059631
A-172,EX229,1016,280,1732,1027,0.859089324706522,0.140910675293478,2.5737526416778564,2.225579023361206
A-172,Elimusertib hydrochloride,328,169,1732,1027,0.8537558897663916,0.1462441102336084,2.6234488487243652,2.203577756881714
A-172,Encorafenib,2210,820,1732,1027,0.8933696447521343,0.10663035524786568,1.8506364822387695,1.8401210308074951
A-172,Erdafitinib ,712,484,1732,1027,0.8165383497327581,0.18346165026724193,1.0199999809265137,1.0594220161437988
A-172,Everolimus,1769,1257,1732,1027,0.8645825308558148,0.13541746914418518,0.9584338665008545,0.9736564755439758
A-172,Futibatinib,547,278,1732,1027,0.8315780507118753,0.1684219492881247,1.3364118337631226,1.2467732429504395
A-172,GSK1059615,2053,1064,1732,1027,0.8751693392589687,0.12483066074103133,2.6975107192993164,2.676011562347412
A-172,Gemcitabine,973,679,1732,1027,0.6909162485753059,0.30908375142469413,0.9245682954788208,1.378883957862854
A-172,HI-TOPK-032,359,413,1732,1027,0.8491347469854731,0.1508652530145269,2.243983507156372,2.316624879837036
A-172,Hydroxyfasudil,356,227,1732,1027,0.7751401429415021,0.22485985705849787,1.5523146390914917,1.41182279586792
A-172,IQ 1,548,251,1732,1027,0.8158985622888711,0.18410143771112886,1.306841492652893,1.3819602727890015
A-172,Infigratinib,1249,468,1732,1027,0.8061576380734505,0.19384236192654947,1.5377439260482788,1.811205267906189
A-172,Ipatasertib,1604,813,1732,1027,0.8957607735536784,0.10423922644632155,1.7163101434707642,1.7182263135910034
A-172,Irinotecan,1156,883,1732,1027,0.7151346928680393,0.2848653071319607,1.1966240406036377,1.6910287141799927
A-172,Ixazomib,420,183,1732,1027,0.8676002062760657,0.1323997937239343,3.0598373413085938,2.5610523223876953
A-172,LB-100,674,371,1732,1027,0.742711544373929,0.25728845562607106,0.8196526765823364,1.0200843811035156
A-172,LJI308,603,310,1732,1027,0.8132369903796379,0.18676300962036207,1.638027548789978,1.713718056678772
A-172,LY-2584702 (tosylate salt),154,177,1732,1027,0.8159304846792926,0.18406951532070737,1.7111729383468628,1.575330376625061
A-172,LY2090314,770,622,1732,1027,0.7867409475056432,0.21325905249435684,0.9548554420471191,1.1923362016677856
A-172,Lapatinib ditosylate,1249,819,1732,1027,0.7163632753415714,0.2836367246584286,0.8860141634941101,0.8730395436286926
A-172,Lonafarnib,87,95,1732,1027,0.9201397312500358,0.07986026874996421,4.425526142120361,3.9575486183166504
A-172,MK-3903,681,300,1732,1027,0.7592993943681537,0.24070060563184625,1.6147732734680176,1.452687382698059
A-172,MK-8353,473,309,1732,1027,0.7198632390728644,0.2801367609271356,0.9347493648529053,0.9956578612327576
A-172,ML264,969,550,1732,1027,0.8476010224206102,0.1523989775793898,1.2578041553497314,1.2596057653427124
A-172,Methylprednisolone succinate,468,341,1732,1027,0.7434269214457144,0.25657307855428557,0.8663943409919739,0.9121256470680237
A-172,Minodronic acid,678,522,1732,1027,0.6312328231315472,0.36876717686845284,0.9365578293800354,0.9453393816947937
A-172,NG25,780,428,1732,1027,0.7945467605712203,0.2054532394287797,2.7893190383911133,2.829859733581543
A-172,NVP-BHG712,596,388,1732,1027,0.7818516566308874,0.2181483433691126,1.0905779600143433,1.1469618082046509
A-172,OTS514,344,322,1732,1027,0.8496390869861076,0.15036091301389243,1.495879888534546,1.524700403213501
A-172,Oleic acid,398,321,1732,1027,0.705927099007346,0.29407290099265404,0.9087617993354797,0.9344523549079895
A-172,Oxaliplatin,763,443,1732,1027,0.8135796397738312,0.1864203602261688,0.9503315687179565,1.0587455034255981
A-172,PF-06260933,379,114,1732,1027,0.6092456598874515,0.3907543401125485,1.7986572980880737,2.3439297676086426
A-172,PH-797804,778,349,1732,1027,0.9418299385370126,0.05817006146298742,4.137100696563721,3.951329231262207
A-172,Paclitaxel,2139,1120,1732,1027,0.8787074464065447,0.12129255359345525,1.5131903886795044,1.6251299381256104
A-172,Pemigatinib,688,418,1732,1027,0.7573913731350079,0.24260862686499207,0.9335327744483948,1.0275442600250244
A-172,Pimitespib,335,223,1732,1027,0.7784647091644478,0.22153529083555223,1.3395930528640747,1.1199086904525757
A-172,Pralsetinib,274,213,1732,1027,0.8858114524664218,0.11418854753357821,2.2630836963653564,2.06813645362854
A-172,RMC-6236,2476,708,1732,1027,0.8965064989047993,0.10349350109520072,3.1440563201904297,2.6117560863494873
A-172,Ralimetinib dimesylate,840,486,1732,1027,0.8597256425787132,0.1402743574212868,1.3693307638168335,1.3649171590805054
A-172,Regorafenib,600,366,1732,1027,0.8513565065470794,0.1486434934529206,1.3618378639221191,1.4770255088806152
A-172,SBI-0640756,389,266,1732,1027,0.7767814501413731,0.22321854985862688,1.1575859785079956,1.2612509727478027
A-172,Sapanisertib,2243,659,1732,1027,0.8578019099478594,0.14219809005214057,2.3515312671661377,2.287860155105591
