file,row,column,arm_v,arm_u,delta,rel,max_abs_cell_delta,sign_flips,n,keyed
upgrade/oracle_shape_test.csv,Control | PFN1,energy_vs_oracleMEAN,0.0759931132894118,0.3665888742092185,0.29059576091980666,3.823974941164776,0.29059576091980666,0,1,True
upgrade/oracle_shape_test.csv,Control | P2RX4,energy_vs_oracleMEAN,-0.1263033805083924,0.3525932699007816,0.478896650409174,3.7916376306123736,0.478896650409174,1,1,True
upgrade/class_c_protein_oracle.csv,Control | FSTL3,energy_rho,-0.0928673174700532,0.2577415669911447,0.35060888446119787,3.7753743083432796,0.35060888446119787,1,1,True
upgrade/oracle_shape_test.csv,Control | UQCRH,energy_vs_oracleMEAN,-0.1254154633605082,0.3474892096026036,0.4729046729631118,3.770704666646582,0.4729046729631118,1,1,True
upgrade/class_c_protein_oracle.csv,Control | CDK6,energy_rho,0.01783139146063,0.0850372736283569,0.06720588216772691,3.7689645430145506,0.06720588216772691,0,1,True
upgrade/class_c_protein_oracle.csv,Control | TTLL1,energy_rho_partial_magmatch,-0.1297190277496149,0.3577172594720608,0.4874362872216757,3.757631364324828,0.4874362872216757,1,1,True
upgrade/oracle_shape_test.csv,IFNγ | UQCRH,magmatch_vs_oracleDIST,-0.0401600977219861,0.110733044845555,0.1508931425675411,3.7572902240457684,0.1508931425675411,1,1,True
upgrade/oracle_shape_test.csv,Control | SDCBP,energy_vs_oracleMEAN,0.0780460526875126,0.3710637247431653,0.2930176720556527,3.754420139976351,0.2930176720556527,0,1,True
upgrade/oracle_shape_test.csv,Control | LRRC75A-AS1,energy_vs_oracleMEAN,0.1091275707492345,0.5187030989892797,0.4095755282400452,3.75318102866244,0.4095755282400452,0,1,True
upgrade/class_c_protein_oracle.csv,Control | PFN1,energy_rho,0.0756732112247841,0.3586517765269971,0.282978565302213,3.739481392716863,0.282978565302213,0,1,True
upgrade/oracle_shape_test.csv,Co-culture | SINHCAF,mean_vs_oracleDIST,0.0186306698041141,0.0881749773697216,0.0695443075656075,3.7327862227610544,0.0695443075656075,0,1,True
upgrade/oracle_shape_test.csv,Control | IFNGR2,energy_vs_oracleMEAN,-0.0981721501323059,0.2678343095702203,0.3660064597025262,3.728210691211937,0.3660064597025262,1,1,True
upgrade/oracle_shape_test.csv,Co-culture | CTSB,mean_vs_oracleDIST,-0.0222874216193144,0.060517099687317,0.0828045213066314,3.7153028610035608,0.0828045213066314,1,1,True
upgrade/oracle_shape_test.csv,Control | GPATCH4,energy_vs_oracleMEAN,-0.0554665014258659,0.1498640888093825,0.2053305902352484,3.7018846503178913,0.2053305902352484,1,1,True
