cell_line,drug,n_treated_G1,n_treated_G2M,n_vehicle_G1,n_vehicle_G2M,S_int,S_int_se,S_main,interaction_share,R_int,R_int_se,half_norm_mean,n_repeats,D_old,induced_cosine,norm_r_G1,norm_r_G2M,z_perm,p_perm,null_sd
CFPAC-1,BI-3406,1505,312,400,393,0.0006117277519984378,7.702563062537329e-06,0.001661145169701841,0.26914296270502425,0.5056681882985041,0.009533284571084724,1.6732045829296112,10.0,0.2153400128462163,0.7846599871537837,2.336451530456543,1.893425464630127,,,
CFPAC-1,BI-78D3,1314,297,400,393,6.40683695867968e-05,1.0015429571393642e-05,0.00039962185029354365,0.13817062952789955,0.0949484287470833,0.016211445627662198,1.26146901845932,10.0,0.3272082092425611,0.6727917907574389,1.2026251554489136,1.084707498550415,,,
CFPAC-1,Belumosudil (mesylate),735,105,400,393,5.094866048441165e-05,1.1104006384276179e-05,0.0007304822870840629,0.0651991844486645,0.05320843535408387,0.01219852729926912,1.502790343761444,10.0,0.2658014079730856,0.7341985920269144,1.493937373161316,1.4973576068878174,,,
CFPAC-1,Belzutifan,580,61,400,393,0.00032014539465308195,1.9270789766404418e-05,0.0010415201903217369,0.2351130837010927,0.1821812618933643,0.012542716581163675,2.0197407782077788,10.0,0.35308322818978244,0.6469167718102176,1.8829582929611206,1.810337781906128,,,
CFPAC-1,Bentamapimod,1057,259,400,393,0.00019656724244770078,6.829664180885586e-06,0.0008663808461278677,0.1849264743597365,0.24973404867586643,0.01063213375233783,1.3494332909584046,10.0,0.22548385911359914,0.7745161408864009,1.6597404479980469,1.475042462348938,4.726291829374108,0.047619047619047616,3.764647323568016e-05
CFPAC-1,Bimiralisib,2258,329,400,393,0.0006868095551100042,9.10656996403808e-06,0.003006921791368061,0.18593922802882512,0.5509256597415081,0.01117909727318996,1.6980489432811736,10.0,0.12015827930728296,0.879841720692717,3.082125425338745,2.413761615753174,,,
CFPAC-1,Binimetinib,717,134,400,393,0.0006361639334095849,9.765082303390318e-06,0.003112370396653811,0.16971004595250058,0.44391927911366713,0.009896507278467201,1.8194257080554963,10.0,0.1273642721554098,0.8726357278445902,3.128699541091919,2.4916038513183594,,,
CFPAC-1,Bortezomib,311,61,400,393,0.0008614446812619765,2.7283507082607915e-05,0.006138933988081084,0.12305686905688737,0.38727300106445817,0.015891793768894737,2.2703312397003175,10.0,0.11424767031084337,0.8857523296891566,3.815030336380005,4.029348850250244,,,
CFPAC-1,Brivudine,1585,580,400,393,0.0008560710586607457,6.749163119922053e-06,0.0024125121947791844,0.2619089043425152,0.6305218881242352,0.007207642668048684,1.7701553583145142,10.0,0.19260926291353675,0.8073907370864633,2.6953530311584473,2.3310787677764893,,,
CFPAC-1,CP21R7,559,140,400,393,7.42237195178556e-05,1.3723252811575143e-05,0.0002484534815367725,0.23002467876647342,0.08259241305488245,0.01613163737118376,1.459578627347946,10.0,0.5171650355579515,0.48283496444204854,0.9774987697601318,1.1151659488677979,,,
CFPAC-1,Capivasertib,711,179,400,393,0.00010488546362871097,1.1491342854525412e-05,0.00042134165091233124,0.19931596212063032,0.12056311087057862,0.014773321545224363,1.427240777015686,10.0,0.38756035537001954,0.6124396446299805,1.269536018371582,1.147566795349121,,,
CFPAC-1,Capmatinib,716,158,400,393,0.0002424020139086578,1.3180904685826577e-05,0.0017234311232136358,0.12330752256191013,0.2514343121380911,0.016554404637717714,1.4965897381305695,10.0,0.14434146564270844,0.8556585343572916,2.281980514526367,1.9650664329528809,,,
CFPAC-1,Celecoxib,856,208,400,393,6.967629855757373e-05,7.550828228105551e-06,0.00023550350322491592,0.22831228721759908,0.09354567431451322,0.010617003803478041,1.3171130478382111,10.0,0.47700314426426993,0.5229968557357301,1.0446884632110596,0.9327787160873413,,,
CFPAC-1,DT-061,588,154,400,393,8.42567507384552e-05,1.39588075091781e-05,0.0012306227969626586,0.06407944430025286,0.09331104010083895,0.01555737996380038,1.4607433438301087,10.0,0.17323841244556748,0.8267615875544325,1.8572275638580322,1.8063422441482544,,,
CFPAC-1,DTP3,722,135,400,393,0.0002341629135318928,9.46423253947124e-06,0.0011351361870765686,0.17100932398760815,0.22101182187643587,0.010869771175470722,1.5666639029979705,10.0,0.21126750286673557,0.7887324971332644,1.9949480295181274,1.5773515701293945,3.351979394442312,0.047619047619047616,5.8137504838145974e-05
CFPAC-1,Dabrafenib,2302,250,400,393,0.00020443731401529578,7.118210736147211e-06,0.0009380802512168884,0.17893581703818243,0.250009256328135,0.009580847570836248,1.3764781594276427,10.0,0.2145303023211773,0.7854696976788227,1.7501460313796997,1.4787695407867432,,,
CFPAC-1,ERK5-IN-2,1976,302,400,393,0.00023275978682148787,1.1161490789291718e-05,0.0008286744873556827,0.2192879884172993,0.3014786744017467,0.01838382405930779,1.340313845872879,10.0,0.2380440550131232,0.7619559449868768,1.6488080024719238,1.4090908765792847,,,
CFPAC-1,ETC-206,942,224,400,393,1.9280617400201868e-05,1.1419797328436694e-05,0.0002235280750836763,0.07940661927283368,0.032237952233944385,0.01781934164484196,1.2299058794975282,10.0,0.4335165515475954,0.5664834484524046,0.9079400300979614,0.9803411364555359,,,
CFPAC-1,EX229,452,126,400,393,0.0003752437135618594,1.400258346531102e-05,0.0015446646656427118,0.19544876079832776,0.3098241282035296,0.014965019776253492,1.6762311398983,10.0,0.21230451078446144,0.7876954892155386,1.9653719663619995,2.1578619480133057,,,
CFPAC-1,Elimusertib hydrochloride,468,85,400,393,0.0004476275553719865,2.252215810507301e-05,0.0016193401999771595,0.21656242784318355,0.2830394780668186,0.01798179346443685,1.9184543132781982,10.0,0.2498470025903211,0.7501529974096789,2.260282039642334,2.0421183109283447,,,
CFPAC-1,Encorafenib,2119,343,400,393,0.0002766558486554358,1.2899268189085075e-05,0.0018849525600671772,0.12798610864903306,0.33499285696615544,0.01966429934887718,1.386984258890152,10.0,0.12479843171298433,0.8752015682870157,2.3416097164154053,2.036609172821045,,,
CFPAC-1,Erdafitinib ,1117,198,400,393,0.00036714491175694595,1.1740435339051135e-05,0.0004367098341592484,0.45673041506832446,0.3559616322300624,0.014261200319341097,1.5461144864559173,10.0,0.48945645604248367,0.5105435439575163,1.4081387519836426,1.1195905208587646,,,
CFPAC-1,Everolimus,1984,562,400,393,0.00012208587205451396,9.198671195864287e-06,0.00030136206963409976,0.2883137690259241,0.18489811579934798,0.01638476161828366,1.241045469045639,10.0,0.413545823798383,0.586454176201617,1.1067641973495483,0.9772329330444336,,,
CFPAC-1,Futibatinib,592,98,400,393,0.00023163999301484888,1.3553508700932246e-05,0.0007018380746659304,0.24814722598716973,0.18222301096750892,0.012265363161848269,1.7179551482200623,10.0,0.3746188897196828,0.6253811102803172,1.5310144424438477,1.5202261209487915,,,
