cell_line,drug_G1,drug_G2M,S_int,S_int_se,S_main,interaction_share,R_int,R_int_se,half_norm_mean,n_repeats,D_old
Hs 766T,Abemaciclib,Methylprednisolone succinate,0.001695503842913442,2.0999423384960534e-05,0.0007543994320763482,0.6920697074950879,0.5600629746163757,0.010748954678438515,2.644116747379303,10,0.752125618659661
J82,TAK-733,Binimetinib,0.0014573896614213785,1.3731428452701143e-05,0.0012198174165354834,0.5443694189444622,0.666256496207611,0.009724124416054237,2.247505855560303,10,0.5134137289094152
J82,Hydroxyfasudil,Belumosudil (mesylate),0.00044900320159892235,1.0440388104960016e-05,0.0008392030942357248,0.348549143914878,0.4090118715646655,0.01285925708375532,1.5939526021480561,10,0.34805073486100335
J82,Temuterkib,Erdafitinib ,0.0001799914442623655,7.548795504063199e-06,0.0003266883160298069,0.35523709129130204,0.2641302506324363,0.013806327333758958,1.2567559599876403,10,0.4352062421064764
J82,Alpelisib,DT-061,0.0005231572366836999,8.549325166257825e-06,0.0005575954034510586,0.484067507453387,0.46234085914051387,0.010595593334844552,1.6180742383003235,10,0.4702310623805287
KATO III,Pimitespib,Infigratinib,0.0008964014550050098,8.645044659066505e-06,0.00042115406443675354,0.6803519409829555,0.6078547892383492,0.008055537328014417,1.8464695334434509,10,0.7269337677271048
KATO III,LY-2584702 (tosylate salt),venetoclax,0.0018012650931874912,9.84004294651135e-06,0.0013549979051782025,0.5706955010150239,0.7264017694030066,0.005221304768621957,2.3927534937858583,10,0.5358866294211173
KATO III,TAK-733,Trametinib,0.001825847311152352,4.774986522613694e-06,0.001352743080092801,0.5744204463026489,0.806946547008222,0.003547744705210577,2.2837648391723633,10,0.5296092562961314
KATO III,APTO-253,4EGI-1,0.0008878425798482364,9.990185307044627e-06,0.0007935452637159162,0.5280415124009794,0.6096398265051756,0.011008462488330203,1.833807247877121,10,0.49127054162978545
LOX-IMVI,ULK-101,Infigratinib,0.0013614196537269489,1.2370647942021565e-05,0.00046474896888766017,0.7455059937333399,0.6384073156427389,0.00908267752698224,2.2199113726615907,10,0.8750827465386386
LOX-IMVI,Pemigatinib,venetoclax,0.0026684834311405817,9.8488275119204e-06,0.0008752203649944728,0.753021015484129,0.8198145177350142,0.0052129274785556266,2.7401760816574097,10,0.8271803563309675
