dataset,task_id,information_condition_mode,structure_reliability_score,preference_conflict,mean_vs_DART_disagreement,subpop_variance_ratio,response_diversity,bootstrap_rank_stability,observed_best_method,observed_dart_minority_cov,observed_mean_minority_cov,seed,HIR_predicted_regime,prediction_correct
sciplex3_within_line,MCF7:Ellagic acid:s2,observed,0.36783258777363287,0.6299435028248588,0.26772468518199066,0.045210800404878605,0.5849654674530029,0.2,mean_sufficient,0.9841639995574951,0.9814914166927338,2,mean_sufficient,True
sciplex3_cross_line,K562->A549:Sirtinol:s0,observed,0.5795530224727333,0.17062146892655367,0.08602150537634407,0.0258528065633271,0.7188707590103149,1.0,mean_sufficient,0.6385518014431,0.636524111032486,0,mean_sufficient,True
sciplex3_cross_line,K562->A549:Zileuton:s0,observed,0.6109400384405875,0.10056497175141244,0.0791213846242309,0.03738723182569166,0.7108585834503174,1.0,mean_sufficient,0.6396639347076416,0.6396639347076416,0,mean_sufficient,True
sciplex3_cross_line,K562->A549:Ofloxacin:s0,observed,0.6217259119036747,0.08700564971751412,0.08590650336380884,0.0404925094017615,0.7018110752105713,1.0,mean_sufficient,0.6450060307979584,0.6450060307979584,0,mean_sufficient,True
sciplex3_cross_line,K562->A549:Lapatinib (GW-572016) Ditosylate:s0,observed,0.5909693332771091,0.10169491525423735,0.09131159795296412,0.029793890575753327,0.6962860226631165,1.0,mean_sufficient,0.6363546252250671,0.6363546252250671,0,mean_sufficient,True
sciplex3_cross_line,K562->A549:Curcumin:s0,observed,0.5896024907683084,0.12146892655367231,0.09033408084641481,0.029517386485642165,0.6943340301513672,1.0,mean_sufficient,0.6447255611419678,0.6447255611419678,0,mean_sufficient,True
sciplex3_cross_line,K562->A549:AICAR (Acadesine):s0,observed,0.6161061107165295,0.12824858757062146,0.09067908688402043,0.03782659528341967,0.708886444568634,1.0,mean_sufficient,0.6355226039886475,0.6355226039886475,0,mean_sufficient,True
sciplex3_cross_line,K562->A549:ABT-737:s0,observed,0.6123500628903276,0.13615819209039548,0.09890173078028863,0.03571324701504798,0.7059471607208252,1.0,mean_sufficient,0.6385606527328491,0.6385606527328491,0,mean_sufficient,True
sciplex3_cross_line,K562->A549:Disulfiram:s0,observed,0.5946897612469365,0.1384180790960452,0.08308895405669597,0.03144928439716777,0.712607741355896,1.0,mean_sufficient,0.6370991468429565,0.6344088017940521,0,mean_sufficient,True
sciplex3_cross_line,K562->A549:Belinostat (PXD101):s0,observed,0.46760105852115236,0.1254237288135593,0.08429647518831579,0.04118725181306321,0.7453553676605225,0.6,mean_sufficient,0.6479359567165375,0.6515596508979797,0,mean_sufficient,True
sciplex3_cross_line,K562->A549:Abexinostat (PCI-24781):s0,observed,0.6284833778778045,0.08983050847457624,0.08682651946409065,0.040502864877651326,0.7658550143241882,1.0,mean_sufficient,0.7203441560268402,0.7203441560268402,0,mean_sufficient,True
sciplex3_cross_line,K562->A549:Droxinostat:s1,observed,0.6039690454410251,0.11694915254237293,0.0868840204703582,0.033983749950826696,0.7160838842391968,1.0,DART_recommended,0.6384251862764359,0.6040107309818268,1,mean_sufficient,False
sciplex3_cross_line,K562->A549:ITSA-1 (ITSA1):s1,observed,0.5961594438955112,0.10282485875706215,0.09602668046690815,0.03078225919982134,0.702033281326294,1.0,mean_sufficient,0.6585206687450409,0.6585206687450409,1,mean_sufficient,True
sciplex3_cross_line,K562->A549:Sirtinol:s1,observed,0.5803959972749333,0.2231638418079096,0.08866655166465415,0.025728606195815316,0.721768856048584,1.0,DART_recommended,0.6454575806856155,0.6128052845597267,1,DART_recommended,True
sciplex3_cross_line,K562->A549:AG-490 (Tyrphostin B42):s1,observed,0.5985378036911008,0.08757062146892658,0.09568167442930248,0.03169445544464321,0.6996585130691528,1.0,DART_recommended,0.6238439455628395,0.5998963490128517,1,mean_sufficient,False
sciplex3_cross_line,K562->A549:UNC0379:s1,observed,0.6034314346422466,0.13728813559322034,0.0868840204703582,0.033393043830990496,0.7284289598464966,1.0,DART_recommended,0.6426187306642532,0.616643488407135,1,mean_sufficient,False
sciplex3_cross_line,K562->A549:Lapatinib (GW-572016) Ditosylate:s1,observed,0.6071654821373123,0.08926553672316384,0.09581380622148744,0.03470518427284193,0.6951509714126587,1.0,mean_sufficient,0.6361134201288223,0.6361134201288223,1,mean_sufficient,True
