split_type,cell_line,heldout_drug,observed_library_fraction,seed,recommendation_mode,regret_reduction
leave_MoA_out,A549,Trichostatin A (TSA),0.9787234042553192,4,DART_recommended,-0.04419708251953125
leave_MoA_out,A549,Divalproex Sodium,0.9893617021276596,4,DART_recommended,0.054178237915039
leave_MoA_out,A549,TGX-221,0.9840425531914894,4,mean_or_no_call,-0.009983062744140708
partial_library,A549,batch,0.2,4,DART_recommended,0.0493831634521485
partial_library,A549,batch,0.4,4,DART_recommended,0.056669235229492194
partial_library,A549,batch,0.6,4,DART_recommended,0.1385078430175781
leave_drug_out,K562,Selisistat (EX 527),1.0,0,mean_or_no_call,0.0603790283203125
leave_drug_out,K562,KW-2449,1.0,0,mean_or_no_call,0.24658584594726568
leave_drug_out,K562,Lenalidomide (CC-5013),1.0,0,mean_or_no_call,0.24409866333007818
leave_drug_out,K562,MK-0752,1.0,0,DART_recommended,0.7158241271972656
leave_drug_out,K562,Resminostat,1.0,0,DART_recommended,0.3374519348144531
leave_drug_out,K562,Alendronate sodium trihydrate,1.0,0,DART_recommended,0.1628265380859375
leave_drug_out,K562,A-366,1.0,0,DART_recommended,0.8756046295166016
leave_drug_out,K562,Veliparib (ABT-888),1.0,0,DART_recommended,0.3878250122070313
leave_drug_out,K562,Quercetin,1.0,0,DART_recommended,0.2336292266845703
leave_drug_out,K562,Carmofur,1.0,0,mean_or_no_call,0.1798114776611329
leave_drug_out,K562,AG-490 (Tyrphostin B42),1.0,0,mean_or_no_call,0.6095561981201172
leave_drug_out,K562,Meprednisone,1.0,0,mean_or_no_call,0.20247077941894537
leave_drug_out,K562,AC480 (BMS-599626),1.0,0,DART_recommended,0.04607200622558599
leave_drug_out,K562,"Baricitinib (LY3009104, INCB028050)",1.0,0,DART_recommended,0.34918403625488287
leave_drug_out,K562,GSK1070916,1.0,0,DART_recommended,0.1146945953369141
leave_drug_out,K562,TGX-221,1.0,0,DART_recommended,0.05042076110839851
leave_drug_out,K562,AZ 960,1.0,0,DART_recommended,0.29974937438964844
leave_drug_out,K562,AG-14361,1.0,0,DART_recommended,0.0994281768798828
leave_drug_out,K562,Altretamine,1.0,0,mean_or_no_call,0.48882102966308594
leave_drug_out,K562,Givinostat (ITF2357),1.0,0,DART_recommended,0.0
leave_drug_out,K562,MC1568,1.0,0,mean_or_no_call,0.7653770446777344
leave_drug_out,K562,SRT2104 (GSK2245840),1.0,0,DART_recommended,-0.11663436889648429
leave_drug_out,K562,PF-573228,1.0,0,mean_or_no_call,-0.09028434753417969
leave_drug_out,K562,Prednisone,1.0,0,mean_or_no_call,0.04417610168457031
leave_drug_out,K562,Fasudil (HA-1077) HCl,1.0,0,DART_recommended,0.4531745910644531
leave_drug_out,K562,Clevudine,1.0,0,mean_or_no_call,0.3297233581542969
leave_drug_out,K562,M344,1.0,0,DART_recommended,0.1269855499267578
leave_drug_out,K562,Hesperadin,1.0,0,DART_recommended,1.0611991882324219
leave_drug_out,K562,SL-327,1.0,0,DART_recommended,0.7804088592529298
leave_drug_out,K562,Ofloxacin,1.0,0,DART_recommended,-0.10930442810058597
leave_drug_out,K562,TG101209,1.0,0,DART_recommended,0.7012062072753906
leave_drug_out,K562,BMS-754807,1.0,0,mean_or_no_call,0.8760910034179688
leave_drug_out,K562,"Roscovitine (Seliciclib,CYC202)",1.0,0,DART_recommended,0.0916481018066406
leave_drug_out,K562,Ki16425,1.0,0,DART_recommended,0.10264778137207038
leave_drug_out,K562,(+)-JQ1,1.0,0,DART_recommended,0.3546276092529297
leave_drug_out,K562,Decitabine,1.0,0,DART_recommended,0.1115341186523437
leave_drug_out,K562,Costunolide,1.0,0,DART_recommended,-0.19361305236816412
leave_drug_out,K562,Pirarubicin,1.0,0,DART_recommended,0.0688362121582032
leave_drug_out,K562,Lomustine,1.0,0,mean_or_no_call,0.022636413574218806
leave_drug_out,K562,Mercaptopurine (6-MP),1.0,0,DART_recommended,0.0272083282470703
leave_MoA_out,K562,SRT3025 HCl,0.8723404255319149,0,DART_recommended,0.1407318115234375
leave_MoA_out,K562,Zileuton,0.973404255319149,0,mean_or_no_call,0.7945289611816408
leave_MoA_out,K562,Droxinostat,0.9361702127659576,0,DART_recommended,-0.1362628936767578
leave_MoA_out,K562,"Temsirolimus (CCI-779, NSC 683864)",0.9840425531914894,0,DART_recommended,0.3282699584960938
leave_MoA_out,K562,CEP-33779,0.8936170212765957,0,DART_recommended,0.14588546752929693
leave_MoA_out,K562,Sorafenib Tosylate,0.9787234042553192,0,DART_recommended,0.8790454864501953
