split_type,cell_line,heldout_drug,observed_library_fraction,seed,classA_regret_reduction,classB_moa_ndcg_gain
leave_drug_out,K562,Ruxolitinib (INCB018424),1.0,1,1.0343551635742188,-0.1330520101357289
leave_drug_out,K562,Carmofur,1.0,1,0.013490676879882812,0.07336392209936
leave_drug_out,K562,Prednisone,1.0,1,0.8172397613525391,0.0
leave_drug_out,K562,CUDC-101,1.0,1,0.5594520568847656,0.05970699298185633
leave_drug_out,K562,Lenalidomide (CC-5013),1.0,1,0.1663494110107422,0.2079259953439193
leave_drug_out,K562,Mocetinostat (MGCD0103),1.0,1,0.20143699645996094,-0.05970699298185622
leave_drug_out,K562,Ki8751,1.0,1,0.3816585540771484,0.1474646409334272
leave_drug_out,K562,Ofloxacin,1.0,1,-0.08120536804199222,-0.0694312219367772
leave_drug_out,K562,Filgotinib (GLPG0634),1.0,1,0.2435665130615235,-0.05371932623193361
leave_drug_out,K562,"Patupilone (EPO906, Epothilone B)",1.0,2,0.31198692321777355,0.0812293224245256
leave_drug_out,K562,Pelitinib (EKB-569),1.0,2,-0.18798828125,-0.3098064936645125
leave_drug_out,K562,"Tozasertib (VX-680, MK-0457)",1.0,2,0.0,0.34210137762625553
leave_drug_out,K562,BMS-265246,1.0,2,0.11376190185546878,0.0757216936743686
leave_drug_out,K562,Filgotinib (GLPG0634),1.0,2,2.5623950958251953,-0.0851431176416209
leave_drug_out,K562,Entacapone,1.0,2,-0.012910842895507812,0.08582131732765269
leave_drug_out,K562,Tofacitinib (CP-690550) Citrate,1.0,2,0.5254898071289062,-0.0636207881989517
leave_drug_out,K562,Alendronate sodium trihydrate,1.0,2,0.39328956604003906,0.1564262420075854
leave_drug_out,K562,PD173074,1.0,2,0.28031158447265625,0.0
leave_drug_out,K562,UNC0379,1.0,2,0.3259658813476563,0.014975098970136491
leave_drug_out,K562,Lomustine,1.0,2,0.5339126586914062,0.0
leave_drug_out,K562,WP1066,1.0,2,-0.29443931579589844,0.0
leave_drug_out,K562,AR-42,1.0,2,1.027679443359375,-0.24817153028788763
leave_drug_out,K562,Danusertib (PHA-739358),1.0,2,0.270822525024414,0.34183934299521845
leave_drug_out,K562,Altretamine,1.0,2,0.7386341094970703,-0.1506605443613029
leave_drug_out,K562,Lapatinib (GW-572016) Ditosylate,1.0,2,0.28490638732910156,-0.2389806604853121
leave_drug_out,K562,S3I-201,1.0,2,0.0990772247314453,0.06046417489487921
leave_drug_out,K562,TMP195,1.0,2,0.16386032104492188,0.1731866333482261
leave_drug_out,K562,"Fedratinib (SAR302503, TG101348)",1.0,2,1.072713851928711,-0.06168261372957762
leave_drug_out,K562,PF-3845,1.0,2,0.017908096313476507,-0.1390561795107756
leave_drug_out,K562,PD98059,1.0,2,0.3263893127441406,0.0
leave_drug_out,K562,Linifanib (ABT-869),1.0,2,0.9924392700195312,0.0464250949500883
leave_drug_out,K562,TGX-221,1.0,2,0.0,0.0
leave_drug_out,K562,GSK J1,1.0,2,0.4926147460937501,0.0
leave_drug_out,K562,UNC0631,1.0,2,0.3687858581542969,-0.08975401749023551
leave_drug_out,K562,Obatoclax Mesylate (GX15-070),1.0,2,0.0,0.0
leave_drug_out,K562,Triamcinolone Acetonide,1.0,2,0.7204856872558595,0.0
leave_drug_out,K562,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),1.0,2,0.8141956329345703,0.0
leave_drug_out,K562,"Cerdulatinib (PRT062070, PRT2070)",1.0,2,-0.0977916717529297,0.025357142432773497
leave_drug_out,K562,Busulfan,1.0,2,-0.053417205810546875,0.0
leave_drug_out,K562,Barasertib (AZD1152-HQPA),1.0,2,-0.09826278686523439,-0.03121747234839245
leave_drug_out,K562,PHA-680632,1.0,3,0.11607742309570312,-0.1381256471388474
leave_drug_out,K562,GSK1070916,1.0,3,0.0379638671875,-0.25284102718517754
leave_drug_out,K562,Busulfan,1.0,3,-0.04553604125976561,0.0636207881989518
leave_drug_out,K562,GSK-LSD1 2HCl,1.0,3,0.1333141326904297,-0.3098457837883157
leave_drug_out,K562,"Fluorouracil (5-Fluoracil, 5-FU)",1.0,3,0.0317363739013672,0.0
leave_drug_out,K562,Barasertib (AZD1152-HQPA),1.0,3,0.0,-0.09478836436955074
leave_drug_out,K562,Epothilone A,1.0,3,0.746044158935547,-0.2902597849695645
leave_drug_out,K562,Resminostat,1.0,3,0.05978775024414057,0.08536694040229831
leave_drug_out,K562,Decitabine,1.0,3,1.1807518005371094,-0.36278902316173894
leave_drug_out,K562,JNJ-7706621,1.0,3,0.45466232299804693,0.0783982689786753
leave_drug_out,K562,Alendronate sodium trihydrate,1.0,3,0.5088825225830078,0.0
leave_drug_out,K562,Triamcinolone Acetonide,1.0,3,0.36250877380371094,0.0
leave_drug_out,K562,Ki16425,1.0,3,-0.1256542205810547,-0.3010299956639812
leave_drug_out,K562,Tazemetostat (EPZ-6438),1.0,3,0.6100139617919923,-0.1826337183898899
leave_drug_out,K562,"Fedratinib (SAR302503, TG101348)",1.0,3,1.597574234008789,0.0636207881989517
leave_drug_out,K562,PF-573228,1.0,3,1.756845474243164,0.0694312219367772
leave_drug_out,K562,MK-5108 (VX-689),1.0,3,0.7514228820800782,0.009378283918382996
leave_drug_out,K562,Regorafenib (BAY 73-4506),1.0,3,0.3278236389160156,0.015711895704843687
leave_drug_out,K562,Amisulpride,1.0,3,0.9747619628906248,0.0
leave_drug_out,K562,Meprednisone,1.0,3,0.3607006072998047,0.0
leave_drug_out,K562,AZD1480,1.0,3,0.07694625854492192,0.0
leave_drug_out,K562,Sirtinol,1.0,3,0.39101028442382807,-0.2416140957407494
leave_drug_out,K562,Danusertib (PHA-739358),1.0,3,0.4005165100097656,0.35268939950845485
leave_drug_out,K562,XAV-939,1.0,3,0.07195472717285162,0.0
leave_drug_out,K562,PFI-1 (PF-6405761),1.0,3,0.38475608825683594,-0.6515650105872839
leave_drug_out,K562,Quercetin,1.0,3,0.1791400909423828,0.027530381370907797
leave_drug_out,K562,SRT3025 HCl,1.0,4,0.1354255676269531,0.046425094950088314
leave_drug_out,K562,Ruxolitinib (INCB018424),1.0,4,0.1291160583496094,0.0
leave_drug_out,K562,Sorafenib Tosylate,1.0,4,0.5736789703369142,0.1356519734324477
leave_drug_out,K562,Epothilone A,1.0,4,0.0,-0.06625422345438911
leave_drug_out,K562,Ki8751,1.0,4,0.5416316986083984,0.0
leave_drug_out,K562,ENMD-2076,1.0,4,0.4467964172363281,0.02881656072451451
leave_drug_out,K562,AT9283,1.0,4,0.5320892333984375,0.0636207881989517
