cell_line,seed,query_drug,query_moa,dart_pick,mean_pick,picks_differ,dart_tanimoto,dart_ntargets,dart_target_jaccard,dart_moa_match,mean_tanimoto,mean_ntargets,mean_target_jaccard,mean_moa_match,dart_welfare,mean_welfare,dart_regret,mean_regret,regret_advantage
MCF7,42,Tranylcypromine (2-PCPA) HCl,Epigenetics,Sodium Phenylbutyrate,MK-0752,1,0.1621621549129486,1,0.0,0,0.09836065769195557,2,0.0,0,-0.27100270986557007,0.003678310662508011,0.3466319441795349,0.07195092365145683,-0.2746810205280781
MCF7,42,Triamcinolone Acetonide,Metabolism,Motesanib Diphosphate (AMG-706),Sorafenib Tosylate,1,0.10784313827753067,7,0.0,0,0.07017543911933899,9,0.0,0,0.194072425365448,0.1127377599477768,0.011501416563987732,0.09283608198165894,0.0813346654176712
MCF7,42,Trichostatin A (TSA),Others,Quisinostat (JNJ-26481585) 2HCl,Quisinostat (JNJ-26481585) 2HCl,0,0.15000000596046448,11,0.0,0,0.15000000596046448,11,0.0,0,0.9464240074157715,0.9464240074157715,0.004094421863555908,0.004094421863555908,0.0
MCF7,42,Tubastatin A HCl,Epigenetics,"Temsirolimus (CCI-779, NSC 683864)",Tacedinaline (CI994),1,0.06756756454706192,4,0.0,0,0.21212121844291687,11,0.0,1,0.0870133638381958,0.27644675970077515,0.18943339586257935,0.0,-0.18943339586257935
MCF7,42,Tucidinostat (Chidamide),Epigenetics,Tacedinaline (CI994),Tacedinaline (CI994),0,0.2985074520111084,11,0.0,1,0.2985074520111084,11,0.0,1,0.7573626041412354,0.7573626041412354,0.0,0.0,0.0
MCF7,42,UNC0379,Epigenetics,NVP-BSK805 2HCl,Obatoclax Mesylate (GX15-070),1,0.10999999940395355,1,0.0,0,0.1071428582072258,1,0.0,0,0.4352284073829651,0.3133004903793335,0.0,0.12192791700363159,0.12192791700363159
MCF7,42,UNC0631,Epigenetics,S-Ruxolitinib (INCB018424),Vandetanib (ZD6474),1,0.16190476715564728,1,0.0,0,0.30612245202064514,98,0.0,0,0.18943974375724792,0.0453345961868763,0.021157070994377136,0.16526221856474876,0.14410514757037163
MCF7,42,UNC1999,Epigenetics,Ruxolitinib (INCB018424),Ruxolitinib (INCB018424),0,0.1376146823167801,110,0.0,0,0.1376146823167801,110,0.0,0,-0.11996141821146011,-0.11996141821146011,0.3646278902888298,0.3646278902888298,0.0
MCF7,42,Valproic acid sodium salt (Sodium valproate),Neuronal Signaling,Maraviroc,Maraviroc,0,0.0972222238779068,2,0.0,0,0.0972222238779068,2,0.0,0,-0.14445531368255615,-0.14445531368255615,0.19200438633561134,0.19200438633561134,0.0
MCF7,42,Vandetanib (ZD6474),Protein Tyrosine Kinase,ENMD-2076,Cediranib (AZD2171),1,0.15217390656471252,2,0.02040816326530612,0,0.3333333432674408,6,0.061224489795918366,1,0.03136841952800751,0.1976706087589264,0.37212754786014557,0.20582535862922668,-0.16630218923091888
MCF7,42,Veliparib (ABT-888),DNA Damage,Resveratrol,Aurora A Inhibitor I,1,0.07017543911933899,2,0.0,0,0.11340206116437912,1,0.0,0,-0.20528249442577362,-0.14194044470787048,0.3053887337446213,0.24204668402671814,-0.06334204971790314
MCF7,42,WHI-P154,JAK/STAT,AC480 (BMS-599626),Trametinib (GSK1120212),1,0.1666666716337204,3,0.3333333333333333,0,0.09183673560619354,3,0.0,0,0.3086205720901489,0.06806376576423645,0.03972703218460083,0.2802838385105133,0.24055680632591248
MCF7,42,WP1066,JAK/STAT,IOX2,Tazemetostat (EPZ-6438),1,0.13333334028720856,1,0.0,0,0.09615384787321091,3,0.0,0,-0.04779304563999176,-0.1965695321559906,0.10883410274982452,0.25761058926582336,0.14877648651599884
MCF7,42,XAV-939,Stem Cells &  Wnt,Sirtinol,TGX-221,1,0.07407407462596893,1,0.0,0,0.09638553857803345,1,0.0,0,0.08171424269676208,-0.40201616287231445,0.0633603185415268,0.5470907241106033,0.48373040556907654
MCF7,42,ZM 447439,Cell Cycle,Barasertib (AZD1152-HQPA),ENMD-2076,1,0.26851850748062134,1,0.0,1,0.15306122601032257,2,0.0,0,0.011625712737441063,-0.009184461086988449,0.21133979596197605,0.23214996978640556,0.020810173824429512
MCF7,42,Zileuton,Metabolism,PD98059,Dasatinib,1,0.16129031777381897,1,0.0,0,0.151162788271904,112,0.0,0,-0.10478043556213379,0.035513654351234436,0.21324580907821655,0.07295171916484833,-0.14029408991336823
MCF7,123,(+)-JQ1,Epigenetics,PFI-1 (PF-6405761),PFI-1 (PF-6405761),0,0.09574468433856964,1,0.0,1,0.09574468433856964,1,0.0,1,0.8567547798156738,0.8567547798156738,0.0,0.0,0.0
MCF7,123,2-Methoxyestradiol (2-MeOE2),Angiogenesis,MK-5108 (VX-689),"Patupilone (EPO906, Epothilone B)",1,0.10309278219938278,1,0.0,0,0.12371134012937546,15,0.0,0,0.15011653304100037,-0.15549439191818237,0.06168600916862488,0.3672969341278076,0.30561092495918274
MCF7,123,A-366,Epigenetics,GSK J1,Navitoclax (ABT-263),1,0.14130434393882751,1,0.0,1,0.16030533611774445,3,0.0,0,-0.08265642821788788,0.15108837187290192,0.2337448000907898,0.0,-0.2337448000907898
MCF7,123,ABT-737,Apoptosis,Resveratrol,Nilotinib (AMN-107),1,0.07070706784725189,2,0.0,0,0.12142857164144516,63,0.0,0,0.01904118061065674,0.05579978972673416,0.1099909245967865,0.07323231548070908,-0.03675860911607742
MCF7,123,AC480 (BMS-599626),Protein Tyrosine Kinase,ZM 447439,BMS-536924,1,0.22131147980690002,1,0.0,0,0.15789473056793213,1,0.0,1,0.04150807112455368,0.34412968158721924,0.30262161046266556,0.0,-0.30262161046266556
MCF7,123,AG-14361,DNA Damage,GSK J1,"Roscovitine (Seliciclib,CYC202)",1,0.1149425283074379,1,0.0,0,0.1149425283074379,5,0.0,0,-0.09085851907730103,0.12617474794387817,0.2170332670211792,0.0,-0.2170332670211792
MCF7,123,AG-490 (Tyrphostin B42),Protein Tyrosine Kinase,Sirtinol,TGX-221,1,0.2083333283662796,1,0.0,0,0.10975609719753265,1,0.0,0,0.10528112947940826,-0.3405578136444092,0.0,0.44583894312381744,0.44583894312381744
MCF7,123,AICAR (Acadesine),PI3K/Akt/mTOR,S3I-201,Tubastatin A HCl,1,0.07999999821186066,1,0.0,0,0.08860759437084198,1,0.0,0,-0.259773850440979,-0.0060437023639678955,0.31869322434067726,0.06496307626366615,-0.2537301480770111
MCF7,123,AMG-900,Cell Cycle,MK-5108 (VX-689),MK-5108 (VX-689),0,0.1150442510843277,1,0.0,1,0.1150442510843277,1,0.0,1,0.09441353380680084,0.09441353380680084,0.05754941701889038,0.05754941701889038,0.0
