cell_line,query_drug,gdsc_drug,n_cand,query_magnitude,query_auc,energy_rho,energy_rho_uncentered,mean_cosine_ctrl_rho,mean_cosine_ctrl_rho_uncentered,mean_cosine_raw_rho,mean_cosine_raw_rho_uncentered,magnitude_only_rho,magnitude_only_rho_uncentered,magnitude_match_rho,magnitude_match_rho_uncentered,potency_match_rho,potency_match_rho_uncentered,energy_rho_partial_magmatch,oracle_vs_potencymatch_rho
K562,Avagacestat (BMS-708163),Avagacestat,33,1.790152630021279,0.980039,0.5060160427807487,0.3365641711229947,0.13201871657754014,0.08923796791443851,0.4488636363636364,0.28241978609625673,-0.48195187165775405,-0.31818181818181823,0.4886363636363637,0.322192513368984,0.4729278074866311,0.29244652406417115,0.002005347593582888,0.4729278074866311
K562,BMS-536924,BMS-536924,33,2.5106885070407503,0.890638,-0.021724598930481284,-0.10260695187165776,0.35193850267379684,0.52774064171123,0.02774064171122995,-0.013034759358288772,0.10060160427807488,0.24532085561497327,-0.044451871657754015,-0.1771390374331551,0.029077540106951877,-0.01270053475935829,0.02038770053475936,0.029077540106951877
K562,BMS-754807,BMS-754807,33,2.4530893634893696,0.933815,-0.40407754010695185,-0.3145053475935829,0.14772727272727273,0.13736631016042783,-0.3582887700534759,-0.24866310160427807,0.5157085561497327,0.41945187165775405,-0.23195187165775402,-0.18449197860962568,-0.09692513368983958,-0.07118983957219252,-0.4318181818181818,-0.09692513368983958
K562,Bosutinib (SKI-606),Bosutinib,33,4.369168171328044,0.612954,-0.06517379679144385,0.1019385026737968,-0.37299465240641716,0.2005347593582888,-0.1895053475935829,0.12165775401069519,-0.48128342245989303,0.09625668449197862,-0.3342245989304813,0.17279411764705885,-0.6998663101604279,-0.20287433155080214,-0.007018716577540108,-0.6998663101604279
K562,Cediranib (AZD2171),Cediranib,33,3.5934448028466823,0.839265,0.3526069518716578,0.3088235294117647,0.030080213903743314,0.3225267379679144,0.2075534759358289,0.4268048128342246,-0.29979946524064177,0.013034759358288772,-0.10728609625668449,0.20989304812834228,-0.49766042780748665,-0.2847593582887701,0.4278074866310161,-0.49766042780748665
K562,Crizotinib (PF-02341066),Crizotinib,33,4.905031009850946,0.768596,0.049799465240641716,0.02774064171122995,0.3806818181818182,0.32720588235294124,0.10795454545454546,0.10461229946524064,0.34090909090909094,0.3258689839572193,0.3018048128342246,0.25935828877005346,0.5775401069518717,0.4385026737967915,-0.08088235294117647,0.5775401069518717
K562,Dasatinib,Dasatinib,33,4.609340048112013,0.204693,0.10427807486631017,0.1948529411764706,-0.134024064171123,0.026737967914438505,-0.047459893048128345,0.08823529411764706,-0.33021390374331555,-0.18750000000000003,-0.24298128342245992,-0.10294117647058824,-0.22560160427807488,-0.054812834224598934,0.30414438502673796,-0.22560160427807488
K562,Entinostat (MS-275),Entinostat,33,7.1461735418378565,0.905502,-0.1303475935828877,-0.12767379679144386,0.09291443850267381,0.125,0.10795454545454546,0.06517379679144385,0.32419786096256686,0.33856951871657753,0.32419786096256686,0.33856951871657753,0.46524064171123003,0.23830213903743316,-0.12165775401069519,0.46524064171123003
K562,"Fluorouracil (5-Fluoracil, 5-FU)",5-Fluorouracil,33,1.7699234387773415,0.967441,-0.45120320855614976,-0.5227272727272728,0.05314171122994653,0.036096256684491984,-0.3910427807486631,-0.43014705882352944,0.47693850267379684,0.5310828877005348,-0.47693850267379684,-0.5310828877005348,-0.17479946524064172,-0.2927807486631016,0.07486631016042782,-0.17479946524064172
K562,Fulvestrant,Fulvestrant,33,1.964256555293525,0.9906,0.5130347593582888,0.4632352941176471,-0.15474598930481284,-0.22794117647058826,0.38268716577540113,0.3258689839572193,-0.5043449197860963,-0.47393048128342247,0.5494652406417113,0.5167112299465241,0.5080213903743316,0.4682486631016043,0.024732620320855617,0.5080213903743316
K562,GSK-LSD1 2HCl,GSK-LSD1-2HCl ,33,2.736214226146487,0.959105,0.5083556149732621,0.42914438502673796,-0.0411096256684492,-0.0357620320855615,0.3542780748663102,0.27907754010695185,-0.5137032085561497,-0.4328208556149733,0.10628342245989306,0.02573529411764706,0.35193850267379684,0.41042780748663105,0.6564171122994653,0.35193850267379684
K562,Lenalidomide (CC-5013),Lenalidomide,33,1.9971127706666725,0.984845,0.49799465240641716,0.3813502673796792,-0.04478609625668449,0.001002673796791444,0.40274064171123,0.3145053475935829,-0.4842914438502674,-0.34358288770053474,0.5220588235294118,0.3910427807486631,0.49131016042780756,0.4695855614973262,-0.04144385026737968,0.49131016042780756
K562,"Luminespib (AUY-922, NVP-AUY922)",Luminespib,33,5.175200752231986,0.657193,0.2449866310160428,0.26838235294117646,0.5538101604278075,0.5782085561497327,0.330548128342246,0.32319518716577544,0.5240641711229946,0.4993315508021391,0.5294117647058824,0.5133689839572193,0.582553475935829,0.5354278074866311,0.11029411764705883,0.582553475935829
K562,Navitoclax (ABT-263),Navitoclax,33,2.8810810620843426,0.879968,0.40407754010695185,0.039438502673796796,-0.1290106951871658,0.12032085561497326,0.44217914438502676,0.1266711229946524,-0.27807486631016043,0.1771390374331551,0.26771390374331555,0.21691176470588236,-0.03375668449197861,0.330548128342246,0.2934491978609626,-0.03375668449197861
K562,Nilotinib (AMN-107),Nilotinib,33,5.288839706534085,0.411218,-0.11163101604278076,0.016377005347593582,-0.4759358288770053,0.08088235294117647,-0.2774064171122995,0.029077540106951877,-0.5307486631016043,0.10360962566844921,-0.5340909090909091,0.03843582887700535,-0.5778743315508021,0.04913101604278075,0.09491978609625669,-0.5778743315508021
K562,Obatoclax Mesylate (GX15-070),Obatoclax Mesylate,33,4.25151022873376,0.836853,-0.25133689839572193,-0.16042780748663105,0.3405748663101605,0.38335561497326204,-0.26437165775401067,-0.25,0.5417780748663102,0.5150401069518717,0.4455213903743316,0.4618983957219252,0.45721925133689845,0.2857620320855615,-0.17245989304812834,0.45721925133689845
K562,PCI-34051,PCI-34051,33,1.8951662133861236,0.985863,0.5474598930481284,-0.1467245989304813,-0.19418449197860962,0.07987967914438504,0.4278074866310161,-0.10862299465240642,-0.5477941176470589,0.13502673796791445,0.5832219251336899,-0.14572192513368984,0.5628342245989305,-0.042112299465240643,0.1627673796791444,0.5628342245989305
K562,PD173074,PD173074,33,1.9028871115252644,0.980083,0.5688502673796791,-0.080548128342246,0.08255347593582889,0.1380347593582888,0.40040106951871657,-0.09692513368983958,-0.5344251336898396,0.07419786096256685,0.5528074866310161,-0.04946524064171123,0.5377673796791445,-0.035093582887700536,0.10528074866310161,0.5377673796791445
K562,PFI-1 (PF-6405761),PFI-1,33,5.511371016192673,0.951003,0.20855614973262035,0.35795454545454547,-0.16343582887700536,0.31417112299465244,0.21858288770053477,0.09859625668449198,-0.5217245989304813,0.07185828877005349,-0.49565508021390375,0.12165775401069519,0.3245320855614974,0.04044117647058824,0.04913101604278075,0.3245320855614974
K562,"Rucaparib (AG-014699,PF-01367338) phosphate",Rucaparib,33,1.9651399677625916,0.965869,0.5705213903743316,0.6226604278074866,-0.0036764705882352945,0.07052139037433156,0.49131016042780756,0.5925802139037434,-0.5294117647058824,-0.5995989304812835,0.5802139037433156,0.616644385026738,0.4585561497326203,0.6507352941176471,0.10461229946524064,0.4585561497326203
K562,Ruxolitinib (INCB018424),Ruxolitinib,33,1.8887145760751782,0.960993,0.5461229946524064,0.43582887700534767,-0.017379679144385027,0.13302139037433156,0.39037433155080214,0.2857620320855615,-0.5033422459893049,-0.38536096256684493,0.5421122994652406,0.4438502673796792,0.39471925133689845,0.2917780748663102,0.1129679144385027,0.39471925133689845
K562,Sorafenib Tosylate,Sorafenib,33,3.9268479106560825,0.811684,0.20153743315508021,-0.1821524064171123,-0.39271390374331555,0.28409090909090906,0.11330213903743316,0.058489304812834236,-0.4341577540106952,0.42914438502673796,-0.41143048128342247,0.29411764705882354,-0.3562834224598931,0.4151069518716578,0.24264705882352944,-0.3562834224598931
K562,Tanespimycin (17-AAG),Tanespimycin,33,5.413060270758401,0.789399,0.24298128342245992,0.3021390374331551,0.03877005347593583,0.33689839572192515,0.1681149732620321,0.30314171122994654,-0.1360294117647059,0.18582887700534761,-0.06651069518716578,0.25300802139037437,-0.33923796791443855,0.024398395721925134,0.26871657754010697,-0.33923796791443855
K562,"Temsirolimus (CCI-779, NSC 683864)",Temsirolimus,33,2.2051131933030375,0.955521,0.3863636363636364,-0.03977272727272728,0.013368983957219253,-0.17613636363636365,0.2556818181818182,-0.10160427807486631,-0.3522727272727273,0.019050802139037436,0.15474598930481284,-0.12600267379679145,0.27473262032085566,-0.01838235294117647,0.4839572192513369,0.27473262032085566
K562,Trametinib (GSK1120212),Trametinib,33,4.861413409320604,0.892222,-0.059826203208556146,-0.007352941176470589,-0.2523395721925134,-0.17546791443850268,-0.13168449197860962,-0.06283422459893048,-0.3038101604278075,-0.2269385026737968,-0.30013368983957217,-0.20020053475935828,-0.4331550802139038,-0.43081550802139046,0.15073529411764705,-0.4331550802139038
K562,UNC0379,UNC0379,33,3.8118266512966414,0.969889,0.1360294117647059,-0.08589572192513369,0.08890374331550803,0.20688502673796794,0.19217914438502673,-0.10227272727272728,-0.07954545454545456,0.2302807486631016,-0.20086898395721925,0.1410427807486631,0.24331550802139038,-0.15775401069518719,0.06383689839572193,0.24331550802139038
