cell_line,query_drug,query_auc,query_ic50,n_candidates,dart_top1_drug,dart_top1_auc,mean_top1_drug,mean_top1_auc,most_potent_drug,most_potent_auc,dart_spearman_rho,dart_spearman_p,mean_spearman_rho,mean_spearman_p,dart_hit1,mean_hit1,dart_hit3,mean_hit3
A549,Bosutinib (SKI-606),0.92871,2.122376,48,Panobinostat (LBH589),0.530702,ABT-737,0.901474,"Luminespib (AUY-922, NVP-AUY922)",0.509277,0.6519756838905775,5.170924432115535e-07,-0.6474164133738602,6.587960952021567e-07,0,0,0,0
A549,CUDC-101,0.854612,1.725244,48,Panobinostat (LBH589),0.530702,Entinostat (MS-275),0.826391,"Luminespib (AUY-922, NVP-AUY922)",0.509277,0.6199522362136343,2.613276526036852e-06,-0.6257056013894919,1.9796581079802175e-06,0,0,0,0
A549,Cediranib (AZD2171),0.830452,2.035706,48,Panobinostat (LBH589),0.530702,PD173074,0.959716,"Luminespib (AUY-922, NVP-AUY922)",0.509277,0.7311115935735996,3.6164939452969064e-09,-0.7523881893182806,7.003394810033481e-10,0,0,0,0
A549,Crizotinib (PF-02341066),0.849685,1.686823,48,Panobinostat (LBH589),0.530702,ZM 447439,0.828413,"Luminespib (AUY-922, NVP-AUY922)",0.509277,0.4996743378202345,0.000299421313589328,-0.4414893617021276,0.0016825424086792365,0,0,0,0
A549,Dacinostat (LAQ824),0.59779,-2.068814,48,Alisertib (MLN8237),0.756616,Panobinostat (LBH589),0.530702,"Luminespib (AUY-922, NVP-AUY922)",0.509277,-0.12874511506730352,0.38315514463138,0.1429656969170647,0.3323567491536985,0,0,0,0
A549,Dasatinib,0.769314,-0.520102,48,Panobinostat (LBH589),0.530702,Crizotinib (PF-02341066),0.849685,"Luminespib (AUY-922, NVP-AUY922)",0.509277,0.6199522362136343,2.613276526036852e-06,-0.5555796786799826,4.1481249830299865e-05,0,0,0,0
A549,Entinostat (MS-275),0.826391,1.983329,48,Panobinostat (LBH589),0.530702,CUDC-101,0.854612,"Luminespib (AUY-922, NVP-AUY922)",0.509277,0.6701042118975249,1.8937955600915491e-07,-0.6680416847590099,2.130457305962784e-07,0,0,0,0
A549,Enzastaurin (LY317615),0.956163,4.745311,48,Panobinostat (LBH589),0.530702,Lenalidomide (CC-5013),0.972176,"Luminespib (AUY-922, NVP-AUY922)",0.509277,0.7124402952670429,1.3519555532171557e-08,-0.7086409031697786,1.7459646741570343e-08,0,0,0,0
A549,"Fedratinib (SAR302503, TG101348)",0.967362,4.626978,48,Panobinostat (LBH589),0.530702,PFI-1 (PF-6405761),0.881062,"Luminespib (AUY-922, NVP-AUY922)",0.509277,0.7016934433347808,2.758521601762121e-08,-0.6732522796352584,1.5794289183253688e-07,0,0,0,0
A549,Flavopiridol HCl,0.8239,0.693558,48,Panobinostat (LBH589),0.530702,Bosutinib (SKI-606),0.92871,"Luminespib (AUY-922, NVP-AUY922)",0.509277,0.5281155015197568,0.0001143772044999538,-0.5180199739470256,0.00016252889824923652,0,0,0,0
A549,"Fluorouracil (5-Fluoracil, 5-FU)",0.760524,2.22749,48,Panobinostat (LBH589),0.530702,AZ 960,0.747144,"Luminespib (AUY-922, NVP-AUY922)",0.509277,0.6371037776812853,1.1229142139555881e-06,-0.5302865827181936,0.00010589875179801873,0,0,0,0
A549,Fulvestrant,0.977923,3.386527,48,Panobinostat (LBH589),0.530702,IOX2,0.936284,"Luminespib (AUY-922, NVP-AUY922)",0.509277,0.7521710811984368,7.127580718756476e-10,-0.7553191489361702,5.514252307067094e-10,0,0,0,0
A549,GSK-LSD1 2HCl,0.97398,3.12326,48,Panobinostat (LBH589),0.530702,IOX2,0.936284,"Luminespib (AUY-922, NVP-AUY922)",0.509277,0.7714937038645245,1.384776126689234e-10,-0.7531480677377334,6.58460461031189e-10,0,0,0,0
A549,IOX2,0.936284,-0.928455,48,Panobinostat (LBH589),0.530702,Lenalidomide (CC-5013),0.972176,"Luminespib (AUY-922, NVP-AUY922)",0.509277,0.7583586626139818,4.288260610156168e-10,-0.7592270950933564,3.9882888899952347e-10,0,0,0,0
A549,Lenalidomide (CC-5013),0.972176,5.317709,48,Panobinostat (LBH589),0.530702,Avagacestat (BMS-708163),0.950203,"Luminespib (AUY-922, NVP-AUY922)",0.509277,0.7327399044724273,3.207074828965446e-09,-0.7283977420755535,4.409857204504521e-09,0,0,0,0
A549,Linifanib (ABT-869),0.979196,2.920696,48,Panobinostat (LBH589),0.530702,Lenalidomide (CC-5013),0.972176,"Luminespib (AUY-922, NVP-AUY922)",0.509277,0.7424012158054711,1.5437839415865713e-09,-0.7302431610942249,3.854458651290952e-09,0,0,0,0
A549,"Luminespib (AUY-922, NVP-AUY922)",0.509277,-4.059148,48,Panobinostat (LBH589),0.530702,Tanespimycin (17-AAG),0.527859,Tanespimycin (17-AAG),0.527859,0.6358183843631181,1.1984409936535107e-06,-0.6181068171949631,2.8533687359400036e-06,0,1,0,1
A549,Navitoclax (ABT-263),0.873974,2.24637,48,Panobinostat (LBH589),0.530702,Sorafenib Tosylate,0.855526,"Luminespib (AUY-922, NVP-AUY922)",0.509277,0.6837820234476768,8.467848386190531e-08,-0.6204950065132435,2.5463114207672645e-06,0,0,0,0
A549,Nilotinib (AMN-107),0.960452,3.132755,48,Panobinostat (LBH589),0.530702,Lenalidomide (CC-5013),0.972176,"Luminespib (AUY-922, NVP-AUY922)",0.509277,0.7283977420755535,4.409857204504521e-09,-0.7257924446374294,5.323027476324336e-09,0,0,0,0
A549,Obatoclax Mesylate (GX15-070),0.671246,0.342464,48,Panobinostat (LBH589),0.530702,XAV-939,0.942597,"Luminespib (AUY-922, NVP-AUY922)",0.509277,0.77594442032132,9.28183161629794e-11,-0.7334997828918801,3.0313076384369953e-09,0,0,0,0
A549,PCI-34051,0.943246,4.131528,48,Panobinostat (LBH589),0.530702,AZ 960,0.747144,"Luminespib (AUY-922, NVP-AUY922)",0.509277,0.7562961354754666,5.088121506348861e-10,-0.6771602257924446,1.2569198061457886e-07,0,0,0,0
A549,PD173074,0.959716,4.372899,48,Panobinostat (LBH589),0.530702,Veliparib (ABT-888),0.977367,"Luminespib (AUY-922, NVP-AUY922)",0.509277,0.7422926617455493,1.5567959624126392e-09,-0.7406643508467216,1.7647929420711326e-09,0,0,0,0
A549,PFI-1 (PF-6405761),0.881062,2.774144,48,Panobinostat (LBH589),0.530702,PD173074,0.959716,"Luminespib (AUY-922, NVP-AUY922)",0.509277,0.6947459834997829,4.3029392788836186e-08,-0.7021276595744681,2.6818013428458785e-08,0,0,0,0
