cell_line,query_drug,n_cand,query_magnitude,query_auc,energy_rho,delta_cosine_rho,magsim_rho,magonly_rho,energy_vs_candmag_rho
MCF7,"Fluorouracil (5-Fluoracil, 5-FU)",50,0.5311103188626275,0.860799,0.539015606242497,0.020888355342136854,-0.5757983193277311,0.5757983193277311,-0.9861704681872748
MCF7,Fulvestrant,50,3.2466047646541867,0.815628,0.07860744297719087,0.4297238895558223,0.2927731092436974,0.5090516206482593,-0.25618247298919566
MCF7,GSK-LSD1 2HCl,50,0.6756433264946925,0.971199,0.501656662665066,0.18588235294117647,-0.517406962785114,0.5321968787515006,-0.9741656662665067
MCF7,GSK1070916,50,1.1718827574692308,0.978619,0.3958223289315726,-0.006002400960384154,-0.253109243697479,0.5492917166866746,-0.7175510204081632
MCF7,IOX2,50,0.6108814511756143,0.984007,0.5047298919567826,-0.11587034813925569,-0.5268187274909963,0.5173109243697479,-0.9736854741896759
MCF7,Lenalidomide (CC-5013),50,0.5381224404755329,0.98008,0.487250900360144,-0.04355342136854741,-0.5247058823529411,0.5226890756302521,-0.9762785114045617
MCF7,Linifanib (ABT-869),50,0.9931225594935152,0.980808,0.4777430972388956,0.3511644657863145,-0.2496518607442977,0.5496758703481391,-0.9443937575030013
MCF7,"Luminespib (AUY-922, NVP-AUY922)",50,2.523362019613661,0.717916,0.31073229291716686,0.06660264105642257,0.23937575030012,0.5079951980792317,-0.3063145258103241
MCF7,Navitoclax (ABT-263),50,0.7467272478609248,0.859172,0.45478991596638657,0.24542617046818724,-0.4902280912364946,0.5471788715486194,-0.9282593037214885
MCF7,Nilotinib (AMN-107),50,0.8506793566537709,0.876889,0.5242256902761104,-0.052100840336134456,-0.3834333733493397,0.5430492196878751,-0.9538055222088836
MCF7,Obatoclax Mesylate (GX15-070),50,1.2326357234137326,0.693005,0.3972629051620648,0.32686674669867943,-0.3037214885954382,0.5226890756302521,-0.8234813925570227
MCF7,PCI-34051,50,0.7445878784001124,0.97438,0.41080432172869147,0.1264345738295318,-0.45066026410564225,0.5332533013205282,-0.8639135654261704
MCF7,PD173074,50,0.5471170798311182,0.983312,0.5079951980792317,0.1032893157262905,-0.5210564225690276,0.5170228091236494,-0.9852100840336133
MCF7,PFI-1 (PF-6405761),50,1.8677360219846826,0.902744,0.41589435774309724,0.2204561824729892,-0.17166866746698678,0.525282112845138,-0.6450420168067227
MCF7,Panobinostat (LBH589),50,8.517428200399756,0.360481,-0.35433373349339736,0.31985594237695075,0.5044417767106842,0.5044417767106842,0.3477070828331333
MCF7,Pelitinib (EKB-569),50,1.1609623695579103,0.991682,0.384969987995198,0.06986794717887154,-0.22247298919567823,0.5620648259303721,-0.7481872749099638
MCF7,"Rucaparib (AG-014699,PF-01367338) phosphate",50,0.6729015481683535,0.972229,0.546890756302521,-0.25983193277310923,-0.5142376950780312,0.5321968787515006,-0.9797358943577431
MCF7,Ruxolitinib (INCB018424),50,0.7267524310571419,0.970127,0.5078031212484994,-0.024729891956782712,-0.481968787515006,0.531140456182473,-0.9598559423769507
MCF7,Selisistat (EX 527),50,0.5710414147122923,0.980926,0.510876350540216,-0.11500600240096039,-0.5321968787515006,0.5207683073229291,-0.9860744297719087
MCF7,Sorafenib Tosylate,50,0.9255915513686221,0.805326,0.44729891956782714,0.33406962785114036,-0.347611044417767,0.5438175270108043,-0.9006002400960382
MCF7,Tanespimycin (17-AAG),50,2.3480965988235196,0.822561,0.36585834333733486,-0.032220888355342134,0.2099879951980792,0.5096278511404562,-0.38439375750300114
MCF7,"Temsirolimus (CCI-779, NSC 683864)",50,1.3947839457723705,0.835436,0.2675150060024009,0.08561824729891956,-0.30189675870348137,0.5226890756302521,-0.643985594237695
MCF7,"Tozasertib (VX-680, MK-0457)",50,0.9527976923642689,0.933808,0.36153661464585835,0.0385594237695078,-0.3048739495798319,0.5339255702280913,-0.7339735894357742
MCF7,Trametinib (GSK1120212),50,2.2255339076757212,0.979691,0.4193517406962785,-0.05959183673469387,0.21488595438175268,0.5612004801920768,-0.4786074429771909
MCF7,Trichostatin A (TSA),50,3.3683469188626356,0.328131,0.2041296518607443,0.4003361344537815,0.28134453781512603,0.5066506602641057,-0.2665546218487395
MCF7,Tubastatin A HCl,50,0.8161332185637412,0.98566,0.4389435774309724,0.16465786314525807,-0.3608643457382953,0.5356542617046819,-0.9241296518607441
MCF7,UNC0379,50,1.1063420433606193,0.934314,0.39860744297719086,0.23611044417767107,-0.2711644657863145,0.5342136854741897,-0.7853541416566626
MCF7,Veliparib (ABT-888),50,0.542961661241022,0.973617,0.5293157262905162,-0.15572629051620648,-0.5405522208883553,0.5345978391356542,-0.9910684273709482
MCF7,XAV-939,50,0.7080393613709894,0.972697,0.4666026410564225,0.05805522208883554,-0.49320528211284514,0.5322929171668667,-0.9669627851140454
MCF7,ZM 447439,50,0.8274886223318548,0.931153,0.3855462184873949,0.0912845138055222,-0.38506602641056425,0.5326770708283313,-0.7895798319327731
