condition,query,n_cand,query_magnitude,energy_rho,mean_cosine_ctrl_rho,magnitude_match_rho,magnitude_only_rho,energy_rho_partial_magmatch
Co-culture,SERPINF1,218,0.6517588496208191,-0.04382543609268552,-0.019098622839698865,-0.17598103631906287,0.1760563257926099,0.13752548983041912
Co-culture,SET,218,1.0335330963134766,-0.05587926811681915,0.2462504394299081,-0.0025812706430705596,0.25231992929739283,-0.027019075456847834
Co-culture,SGK1,218,0.7317917346954346,0.26663303736848226,0.34555030524090025,0.10510931741984132,-0.1250702943065521,0.28008205394317026
Co-culture,SHMT2,218,1.0892961025238037,0.4203312852666029,0.47071963416265655,0.3113260271656003,0.19159838973190574,0.42089653546800226
Co-culture,SINHCAF,218,1.4136520624160767,0.0971170502279244,0.08173946483083902,-0.008372768608227749,-0.17251772053589887,0.09943133281480121
Co-culture,SLC19A1,218,0.8825529217720032,0.24135894024853632,0.26438477785840825,0.14867412341334674,-0.12963283640350293,0.22842536699274726
Co-culture,SLC22A18,218,0.6885783076286316,0.334672713762742,0.4714482046066733,-0.03160941674403143,0.06079161669086547,0.4510042167896684
Co-culture,SLC25A13,218,0.6861823201179504,0.253651973829379,0.4278671824188654,-0.10483711701547893,0.13802703355420173,0.41685406988832246
Co-culture,SLC26A2,218,0.7839473485946655,0.5167481433905398,0.6649398350233889,0.1288810999676255,0.034668485969227454,0.5422979158136273
Co-culture,SLC5A3,218,0.7897123694419861,0.05979316244167237,0.23269485929266118,-0.08459814822644061,0.19484626179076592,0.1059560344223473
Co-culture,SLC7A5P1,218,0.7679919004440308,0.049714797682705834,0.27152453654985403,-0.03652524021685685,0.16355479828502162,0.10481047612483921
Co-culture,SLIRP,218,1.5817363262176514,0.14017915419805416,0.15658530963375145,0.10579155588013683,-0.061669607782383305,0.16973548491343737
Co-culture,SMAD3,218,0.8023521304130554,0.5817982485351854,0.6901502256657182,0.1968721277789779,-0.011816393298310215,0.575740341663631
Co-culture,SMAD4,218,1.2589484453201294,0.1778875974491926,0.22799332124454655,0.17371424401550034,0.11841702144417951,0.2282018151712922
Co-culture,SNHG6,218,1.008913278579712,0.3080410895197632,0.22248676497927508,-0.01966271474150517,-0.260396752359601,0.30844186117895206
Co-culture,SOX4,218,0.9902896285057068,0.2342099151603463,0.21868870061372503,0.2294168714443822,0.0991695571067761,0.21460685284788225
Co-culture,SP100,218,1.0974533557891846,0.5322427170465214,0.6481653403171076,0.14877142057916135,-0.1407559873953838,0.5260724551144429
Co-culture,SPESP1,218,0.9737379550933838,0.45052120585937433,0.5843604072349708,0.1738810391568969,-0.04210476935648929,0.44608376011847084
Co-culture,SPINT1,218,0.6678277850151062,0.2434902114997142,0.176979490568256,0.30437391300822564,-0.34800126717975477,0.00469980059872506
Co-culture,SSR2,218,0.9792526960372925,0.1559923054135819,0.20815280751551107,-0.006943426910426954,-0.2003979917401656,0.15560191327926776
Co-culture,ST3GAL6-AS1,218,0.795279860496521,0.24317399571081658,0.24537708153676235,0.19019916382352378,-0.20292887635093929,0.18887522738868884
