separation_scale,cells_per_source,seed,n_total,ari_kmeans_k2,acc_kmeans_k2,k_kmeans_k2,ari_gmm_k2,acc_gmm_k2,k_gmm_k2,ari_leiden,acc_leiden,k_leiden,ari_hdbscan,acc_hdbscan,k_hdbscan,probe_linear_acc,probe_linear_auc,probe_linear_ari,probe_forest_acc,probe_forest_auc,probe_forest_ari,probe_knn_acc,probe_knn_auc,probe_knn_ari,probe_acc,probe_auc,probe_ari
1.0,400,3,800,0.0651383237392265,0.62875,2,0.17973893325819168,0.7125,2,0.11661395238302201,0.715,6,0.0,0.5,0,0.69875,0.75286875,0.15698440352147439,0.70375,0.7446249999999999,0.16508607400954467,0.645,0.717475,0.08297811151941205,0.70375,0.75286875,0.16508607400954467
1.0,400,4,800,0.06263857995448249,0.62625,2,0.13413951750495787,0.68375,2,0.06388188122655099,0.665,6,0.0,0.5,0,0.69125,0.7499625,0.14526136812695176,0.68375,0.743478125,0.1340589614749446,0.6075,0.684065625,0.045047025467209616,0.69125,0.7499625,0.14526136812695176
1.0,400,5,800,0.0690997933077369,0.6325,2,0.12341455929731152,0.67625,2,0.06715154404506221,0.67,7,0.0,0.5,0,0.6975,0.75525625,0.1549866859243722,0.675,0.7345406250000001,0.1214776870042984,0.5975,0.68784375,0.03687793246625142,0.6975,0.75525625,0.1549866859243722
1.0,400,6,800,0.06906829696936641,0.6325,2,0.11301349780801358,0.66875,2,0.07709805965585649,0.68125,7,0.0,0.5,0,0.7025,0.7514062499999999,0.16300772440697323,0.7,0.730596875,0.15905867722709008,0.66875,0.71163125,0.11281537516926025,0.7025,0.7514062499999999,0.16300772440697323
1.0,400,7,800,0.03489721498654973,0.595,2,0.09824266008928875,0.6575,2,0.06724369828614403,0.66875,6,0.0,0.5,0,0.67125,0.7250875000000001,0.11623500986305828,0.6575,0.7095750000000001,0.09813488888900723,0.59875,0.6673093750000001,0.03786439884800391,0.67125,0.7250875000000001,0.11623500986305828
1.0,400,8,800,0.0625839005901318,0.62625,2,0.11805256740997998,0.6725,2,0.06533995353443121,0.66125,7,0.0,0.5,0,0.7025,0.7584687499999999,0.16300953362535428,0.71,0.7569625000000001,0.17546403816773112,0.65,0.7039625,0.08895566269269116,0.71,0.7584687499999999,0.17546403816773112
1.0,400,9,800,0.0483466457974742,0.61125,2,0.1268905300013458,0.67875,2,0.0724698484252103,0.67375,6,0.0,0.5,0,0.6675,0.72350625,0.11115705353115132,0.65125,0.71170625,0.09045555683806546,0.59,0.663678125,0.031195238534427794,0.6675,0.72350625,0.11115705353115132
1.5,50,0,100,0.1071913659557285,0.67,2,0.13694107865553204,0.69,2,0.07224897047675634,0.67,4,0.0,0.5,0,0.78,0.8799999999999999,0.30677700519048084,0.75,0.7994,0.2423747699064116,0.58,0.8124,0.019754170324846356,0.78,0.8799999999999999,0.30677700519048084
1.5,50,1,100,0.22274997551659975,0.74,2,-0.0007766707522784365,0.51,2,0.1815635709986365,0.75,3,0.0,0.5,0,0.79,0.8672,0.32976261890479047,0.81,0.8512000000000001,0.3781818181818182,0.64,0.7384000000000001,0.06996770721205597,0.81,0.8672,0.3781818181818182
1.5,50,2,100,0.15192703064321378,0.7,2,0.0581203139476509,0.63,2,0.1360916942052309,0.72,4,0.0,0.5,0,0.82,0.9012,0.4037312701988052,0.67,0.7692,0.10657915681976808,0.51,0.8091999999999999,-0.0007766707522784365,0.82,0.9012,0.4037312701988052
1.5,50,3,100,0.20449347504372392,0.73,2,-0.0007766707522784365,0.51,2,0.1401537042729788,0.7,4,0.0,0.5,0,0.76,0.8548,0.2631475859367349,0.65,0.738,0.08071803788555965,0.63,0.7716,0.0604824427480916,0.76,0.8548,0.2631475859367349
1.5,50,4,100,0.09396564381148143,0.66,2,0.12107711138310893,0.68,2,0.048252237651478874,0.64,3,0.0,0.5,0,0.74,0.8216000000000001,0.22266115999281738,0.72,0.7777999999999999,0.18644731049550797,0.67,0.7118,0.10739524926088287,0.74,0.8216000000000001,0.22266115999281738
1.5,50,5,100,0.18570379436964504,0.72,2,0.16875930268121114,0.71,2,0.14373418526158654,0.75,4,0.0,0.5,0,0.71,0.8151999999999999,0.1679993142885131,0.66,0.7358,0.093255620316403,0.54,0.6602,0.0004389815627743635,0.71,0.8151999999999999,0.1679993142885131
1.5,50,6,100,0.263724434876211,0.76,2,0.2856572455294755,0.77,2,0.14133129027896704,0.73,4,0.0,0.5,0,0.83,0.9184,0.42995482536145835,0.73,0.824,0.2041041077787159,0.6,0.6714,0.030219914776901603,0.83,0.9184,0.42995482536145835
1.5,50,7,100,0.1514424254297889,0.7,2,0.26338804947296285,0.76,2,0.17680028495044073,0.75,3,0.0,0.5,0,0.88,0.95,0.5734012339633728,0.81,0.8992,0.3782427188031781,0.69,0.8565999999999999,0.13862618521727457,0.88,0.95,0.5734012339633728
1.5,50,8,100,0.3535643742144011,0.8,2,0.3296969696969697,0.79,2,0.2908791573325907,0.81,3,0.0,0.5,0,0.83,0.9324,0.4298989898989899,0.77,0.8758,0.28437434949245105,0.71,0.7447999999999999,0.1681622859101649,0.83,0.9324,0.4298989898989899
1.5,50,9,100,0.10660832867364056,0.67,2,0.10739524926088287,0.67,2,0.05306003839117249,0.64,3,0.0016474263041785092,0.56,2,0.76,0.836,0.26296713523044524,0.72,0.8062,0.18570379436964504,0.61,0.6774,0.040417045236940854,0.76,0.836,0.26296713523044524
1.5,100,0,200,0.20802776745763807,0.73,2,0.1988610578401089,0.725,2,0.12414694667793355,0.72,4,0.0,0.5,0,0.795,0.8727,0.3448158482847439,0.725,0.7957499999999998,0.19861833271812562,0.705,0.76825,0.16399348558875884,0.795,0.8727,0.3448158482847439
1.5,100,1,200,0.2170794262857593,0.735,2,0.2170794262857593,0.735,2,0.13094625994832015,0.745,5,0.0,0.5,0,0.825,0.9222,0.4196680383519779,0.75,0.8462,0.246469387219313,0.675,0.7800499999999999,0.1180721905809519,0.825,0.9222,0.4196680383519779
1.5,100,2,200,0.16405089779085733,0.705,2,0.12538073116542112,0.68,2,0.10198383184388571,0.695,5,0.0,0.5,0,0.79,0.8659,0.3330700421804548,0.72,0.78055,0.18958621191186095,0.62,0.75105,0.053851540474926796,0.79,0.8659,0.3330700421804548
