drug,n_a,n_b,eff_a,eff_b,cross_cos,rel_a,rel_b,reliable,clears_gate,pair
Sorafenib Tosylate,479,480,1.2355997562408447,1.1561436653137207,0.046661894768476486,0.36567298173904417,0.47692662477493286,False,False,K562+A549
Daphnetin,480,480,0.9860190749168396,0.7846863269805908,0.046760812401771545,0.12119931429624557,0.21413865685462952,False,False,K562+A549
Linifanib (ABT-869),480,480,1.0167014598846436,0.9749036431312561,0.04841636121273041,0.15401402488350868,0.39385443925857544,False,False,K562+A549
Andarine,480,480,0.9831353425979614,0.9396793842315674,0.04883340373635292,0.12233542129397393,0.35588730573654176,False,False,K562+A549
Ellagic acid,480,480,0.9218550324440002,0.6885577440261841,0.04888041317462921,0.054374636709690095,0.08091993145644664,False,False,K562+A549
Vandetanib (ZD6474),470,480,1.8917722702026367,0.9595972895622253,0.049340005964040756,0.6352162837982178,0.34425219893455505,False,False,K562+A549
PHA-680632,474,480,2.2766683101654053,1.459402322769165,0.051267366856336594,0.7565669298171998,0.6691500544548035,True,True,K562+A549
BMS-265246,480,480,1.4898617267608643,1.4658399820327759,0.05167869105935097,0.4985836625099182,0.6685553431510926,False,False,K562+A549
G007-LK,480,480,1.1067770719528198,0.8514001369476318,0.052626390010118484,0.24261960983276368,0.21867747604846954,False,False,K562+A549
"Tozasertib (VX-680, MK-0457)",480,462,2.5853214263916016,1.9069185256958008,0.053625188767910004,0.8071537137031555,0.7909570336341858,True,True,K562+A549
SRT2104 (GSK2245840),480,480,1.082310676574707,1.0035123825073242,0.0541025772690773,0.19372869282960892,0.381482195854187,False,False,K562+A549
PF-573228,480,480,0.9915884733200073,0.7924189567565918,0.05547076463699341,0.12521762251853943,0.1549944940023124,False,False,K562+A549
Rigosertib (ON-01910),382,394,1.777323842048645,1.915067434310913,0.05620023235678673,0.5260408222675323,0.7380424976348877,True,True,K562+A549
MLN8054,477,469,1.3347750902175903,2.2621877193450928,0.05637899413704872,0.42800942063331604,0.8487899899482727,False,False,K562+A549
Mercaptopurine (6-MP),480,480,1.6829395294189453,1.071144938468933,0.05725816637277603,0.5668645143508911,0.4032092571258545,False,False,K562+A549
Enzastaurin (LY317615),480,480,1.2565263509750366,0.9687585234642029,0.05794588476419449,0.33953770995140076,0.3767828822135925,False,False,K562+A549
WHI-P154,480,480,1.4392905235290527,0.7850978374481201,0.059720538556575775,0.5005716264247895,0.1626412898302078,False,False,K562+A549
Mesna,480,480,0.9481987357139587,0.766372561454773,0.0601235032081604,0.1222191333770752,0.16072542369365692,False,False,K562+A549
(+)-JQ1,480,480,3.6309409141540527,2.5340707302093506,0.06016587093472481,0.9035697698593139,0.8822616457939148,True,True,K562+A549
YM155 (Sepantronium Bromide),480,221,2.6577134132385254,5.439176559448242,0.06100427359342575,0.8365922331809997,0.9485217332839966,True,True,K562+A549
S3I-201,480,480,0.9818100333213806,0.793938159942627,0.06145789846777916,0.13952233642339706,0.17294862866401672,False,False,K562+A549
Danusertib (PHA-739358),480,476,3.4020447731018066,1.7633274793624878,0.06194441765546799,0.879854166507721,0.744547700881958,True,True,K562+A549
Tazemetostat (EPZ-6438),480,480,0.9873159527778625,0.9798120260238647,0.06310725957155228,0.12153822146356105,0.385201621055603,False,False,K562+A549
"Fedratinib (SAR302503, TG101348)",448,476,1.6269384622573853,1.2977102994918823,0.06530467420816422,0.5322923004627228,0.6263710021972656,True,True,K562+A549
Dasatinib,475,480,5.236090183258057,1.6249314546585083,0.06627456098794937,0.9433155417442322,0.7204159498214722,True,True,K562+A549
Alvespimycin (17-DMAG) HCl,480,423,3.6903841495513916,2.942953586578369,0.07055703550577164,0.8933381795883178,0.8886420130729675,True,True,K562+A549
Roxadustat (FG-4592),480,480,1.0462995767593384,0.8465362787246704,0.07194003462791443,0.20731428861618043,0.23930928409099578,False,False,K562+A549
PFI-1 (PF-6405761),480,480,2.337552309036255,1.1551976203918457,0.07362853735685349,0.7812301397323609,0.5138776183128357,True,True,K562+A549
Tanespimycin (17-AAG),461,463,2.704261302947998,2.3680803775787354,0.0762871503829956,0.8076756119728088,0.863923704624176,True,True,K562+A549
Trametinib (GSK1120212),480,480,4.795133113861084,4.344142436981201,0.0774269700050354,0.9379822254180908,0.9534614443778991,True,True,K562+A549
"Luminespib (AUY-922, NVP-AUY922)",413,480,4.294592380523682,1.3977235555648804,0.07772548496723175,0.9080412864685059,0.6290253400802612,True,True,K562+A549
Resveratrol,480,480,0.9934929609298706,0.7581420540809631,0.08438822627067566,0.11528244316577911,0.15500725209712982,False,False,K562+A549
Prednisone,480,480,0.9066072106361389,0.7629138827323914,0.08499996364116669,0.019262938853353263,0.205243881046772,False,False,K562+A549
Disulfiram,480,480,0.971959114074707,0.820393443107605,0.08823294937610626,0.09441993162035942,0.19505684971809387,False,False,K562+A549
Motesanib Diphosphate (AMG-706),480,480,1.117143154144287,0.9648271203041077,0.0895252600312233,0.2373438686132431,0.3842985391616821,False,False,K562+A549
Tucidinostat (Chidamide),480,480,2.5601725578308105,1.035693645477295,0.09002043306827545,0.7959397435188293,0.4455388724803925,False,False,K562+A549
UNC0379,480,480,1.3524514436721802,2.071593761444092,0.09654349833726883,0.44931662678718565,0.8278251171112061,False,False,K562+A549
