fpr,tpr
0.555,0.877662037037037
0.555,0.878125
0.555,0.8783564814814815
0.555,0.8799768518518518
0.555,0.8802083333333334
0.555,0.8822916666666667
0.555,0.8825231481481481
0.555,0.8905092592592593
0.555,0.8907407407407407
0.555,0.8940972222222222
0.555,0.8943287037037037
0.555,0.8974537037037037
0.555,0.8976851851851851
0.555,0.9
0.5775,0.9
0.5775,0.9006944444444445
0.5775,0.9009259259259259
0.5775,0.9028935185185185
0.5775,0.903125
0.5775,0.9033564814814815
0.5775,0.903587962962963
0.5775,0.9038194444444444
0.5775,0.904050925925926
0.5775,0.9055555555555556
0.5775,0.905787037037037
0.5775,0.9078703703703703
0.5775,0.9081018518518519
0.5775,0.9126157407407407
0.5775,0.9128472222222223
0.5775,0.9141203703703704
0.5775,0.9143518518518519
0.5775,0.9149305555555556
0.5775,0.9153935185185185
0.5775,0.9158564814814815
0.5775,0.9160879629629629
0.5775,0.9177083333333333
0.5775,0.9180555555555555
0.5775,0.9194444444444444
0.5775,0.919675925925926
0.5775,0.9199074074074074
0.5775,0.9201388888888888
0.5775,0.9208333333333333
0.5775,0.9210648148148148
0.5775,0.9215277777777777
0.5775,0.9217592592592593
0.5775,0.9221064814814814
0.5775,0.9243055555555556
0.5775,0.924537037037037
0.5775,0.925
0.6,0.925
0.6,0.9327546296296296
0.6,0.9329861111111111
0.6,0.9364583333333333
0.6,0.9366898148148148
0.6,0.9439814814814815
0.6,0.944212962962963
0.6,0.9474537037037037
0.6,0.9476851851851852
0.6,0.9547453703703703
0.6,0.9549768518518519
0.6,0.9555555555555556
0.6,0.955787037037037
0.6,0.9560185185185185
0.6,0.95625
0.6,0.9590277777777778
0.6,0.9592592592592593
0.6,0.9606481481481481
0.6,0.9608796296296296
0.6,0.9710648148148148
0.6,0.9712962962962963
0.6,0.9724537037037037
0.6,0.9726851851851852
0.6,0.9842592592592593
0.6,0.9844907407407407
0.6,0.9959490740740741
0.6,0.9961805555555555
0.6,1.0
0.600625,1.0
0.6008333333333333,1.0
0.6016666666666667,1.0
0.601875,1.0
0.6022916666666667,1.0
0.603125,1.0
0.6035416666666666,1.0
0.60375,1.0
0.6041666666666666,1.0
0.604375,1.0
0.605,1.0
0.6054166666666667,1.0
0.6058333333333333,1.0
0.6070833333333333,1.0
0.6075,1.0
0.608125,1.0
0.60875,1.0
0.6089583333333334,1.0
0.609375,1.0
0.6095833333333334,1.0
0.61,1.0
0.610625,1.0
0.6108333333333333,1.0
0.61125,1.0
0.6114583333333333,1.0
0.6122916666666667,1.0
0.6133333333333333,1.0
0.6141666666666666,1.0
0.6147916666666666,1.0
0.6152083333333334,1.0
0.615625,1.0
0.6158333333333333,1.0
0.6170833333333333,1.0
0.6175,1.0
0.618125,1.0
0.61875,1.0
0.6191666666666666,1.0
0.62,1.0
0.620625,1.0
0.6208333333333333,1.0
0.62125,1.0
0.6214583333333333,1.0
0.6222916666666667,1.0
0.6233333333333333,1.0
0.6241666666666666,1.0
0.6247916666666666,1.0
0.6254166666666666,1.0
0.6258333333333334,1.0
0.6270833333333333,1.0
0.6275,1.0
0.628125,1.0
0.62875,1.0
0.6291666666666667,1.0
0.63,1.0
0.6302083333333334,1.0
0.630625,1.0
0.6308333333333334,1.0
0.6320833333333333,1.0
0.6325,1.0
0.633125,1.0
0.63375,1.0
0.6341666666666667,1.0
0.635,1.0
0.635625,1.0
0.6358333333333334,1.0
0.63625,1.0
0.6364583333333333,1.0
0.6372916666666667,1.0
0.6383333333333333,1.0
0.6391666666666667,1.0
0.6397916666666666,1.0
0.64,1.0
0.640625,1.0
0.6410416666666666,1.0
0.6414583333333334,1.0
0.6420833333333333,1.0
0.6422916666666667,1.0
0.6427083333333333,1.0
0.6435416666666667,1.0
0.644375,1.0
0.645,1.0
0.645625,1.0
0.6460416666666666,1.0
0.6466666666666666,1.0
0.646875,1.0
0.6475,1.0
0.648125,1.0
0.649375,1.0
0.65,1.0
0.650625,1.0
0.6510416666666666,1.0
0.6514583333333334,1.0
0.6520833333333333,1.0
0.6522916666666667,1.0
0.6527083333333333,1.0
0.6535416666666667,1.0
0.654375,1.0
0.655,1.0
0.6554166666666666,1.0
0.6566666666666666,1.0
0.656875,1.0
0.6575,1.0
0.658125,1.0
0.659375,1.0
0.66,1.0
0.660625,1.0
0.6610416666666666,1.0
0.6614583333333334,1.0
0.6620833333333334,1.0
0.6622916666666666,1.0
0.6627083333333333,1.0
0.6635416666666667,1.0
0.664375,1.0
0.665,1.0
0.6654166666666667,1.0
0.6666666666666666,1.0
0.666875,1.0
0.6675,1.0
0.668125,1.0
0.669375,1.0
0.67,1.0
0.670625,1.0
0.6710416666666666,1.0
0.6714583333333334,1.0
0.6720833333333334,1.0
0.6722916666666666,1.0
0.6727083333333334,1.0
0.6735416666666667,1.0
0.674375,1.0
0.675,1.0
0.6754166666666667,1.0
0.6766666666666666,1.0
0.676875,1.0
0.6775,1.0
0.678125,1.0
0.679375,1.0
0.68,1.0
0.6804166666666667,1.0
0.68125,1.0
0.6816666666666666,1.0
0.6835416666666667,1.0
0.6839583333333333,1.0
0.684375,1.0
0.6845833333333333,1.0
0.685,1.0
0.6852083333333333,1.0
0.6858333333333333,1.0
0.6866666666666666,1.0
0.6870833333333334,1.0
0.6875,1.0
0.688125,1.0
0.6889583333333333,1.0
0.6891666666666667,1.0
0.6897916666666667,1.0
0.69,1.0
0.6904166666666667,1.0
0.69125,1.0
0.6916666666666667,1.0
0.6935416666666666,1.0
0.6939583333333333,1.0
0.694375,1.0
0.6945833333333333,1.0
0.695,1.0
0.6952083333333333,1.0
