setting,alpha,method,reference,hit@1,mrr,population_minus_mean_hit@1,population_minus_mean_mrr
crossline:A549+MCF7,0.7,coverage_mean,raw_normalized_expression,0.8933333333333333,0.9425252525252525,0.41333333333333333,0.21141414141414142
crossline:A549+MCF7,0.7,coverage_worst,matched_control_referenced,0.9333333333333333,0.9554923747276689,0.4533333333333333,0.22438126361655775
crossline:A549+MCF7,0.7,coverage_worst,raw_normalized_expression,0.9333333333333333,0.9554923747276689,0.4533333333333333,0.22438126361655775
crossline:A549+MCF7,0.7,global_energy,matched_control_referenced,0.9666666666666667,0.9808333333333333,0.4866666666666667,0.24972222222222223
crossline:A549+MCF7,0.7,global_energy,raw_normalized_expression,0.9666666666666667,0.9808333333333333,0.4866666666666667,0.24972222222222223
crossline:A549+MCF7,0.7,mmd_rbf,matched_control_referenced,0.9666666666666667,0.9806666666666666,0.4866666666666667,0.24955555555555559
crossline:A549+MCF7,0.7,mmd_rbf,raw_normalized_expression,0.9666666666666667,0.9806666666666666,0.4866666666666667,0.24955555555555559
crossline:A549+MCF7,0.7,sliced_wasserstein,matched_control_referenced,0.8733333333333333,0.9166060606060606,0.3933333333333333,0.1854949494949495
crossline:A549+MCF7,0.7,sliced_wasserstein,raw_normalized_expression,0.8733333333333333,0.9166060606060606,0.3933333333333333,0.1854949494949495
crossline:A549+MCF7,0.8,coverage_mean,matched_control_referenced,0.8466666666666667,0.9122857142857144,0.41333333333333333,0.19895238095238094
crossline:A549+MCF7,0.8,coverage_mean,raw_normalized_expression,0.8466666666666667,0.9122857142857144,0.41333333333333333,0.19895238095238094
crossline:A549+MCF7,0.8,coverage_worst,matched_control_referenced,0.8933333333333333,0.9298411033411033,0.46,0.21650777000777002
crossline:A549+MCF7,0.8,coverage_worst,raw_normalized_expression,0.8933333333333333,0.9298411033411033,0.46,0.21650777000777002
crossline:A549+MCF7,0.8,global_energy,matched_control_referenced,0.96,0.98,0.5266666666666666,0.26666666666666666
crossline:A549+MCF7,0.8,global_energy,raw_normalized_expression,0.96,0.98,0.5266666666666666,0.26666666666666666
crossline:A549+MCF7,0.8,mmd_rbf,matched_control_referenced,0.9666666666666667,0.9833333333333333,0.5333333333333333,0.27
crossline:A549+MCF7,0.8,mmd_rbf,raw_normalized_expression,0.9666666666666667,0.9833333333333333,0.5333333333333333,0.27
crossline:A549+MCF7,0.8,sliced_wasserstein,matched_control_referenced,0.88,0.9270134680134681,0.44666666666666666,0.2136801346801347
crossline:A549+MCF7,0.8,sliced_wasserstein,raw_normalized_expression,0.88,0.9270134680134681,0.44666666666666666,0.2136801346801347
crossline:A549+MCF7,0.9,coverage_mean,matched_control_referenced,0.7,0.7799352337211533,0.3466666666666667,0.11104634483226436
crossline:A549+MCF7,0.9,coverage_mean,raw_normalized_expression,0.7,0.7799352337211533,0.3466666666666667,0.11104634483226436
crossline:A549+MCF7,0.9,coverage_worst,matched_control_referenced,0.8466666666666667,0.8774437683963545,0.49333333333333335,0.2085548795074657
crossline:A549+MCF7,0.9,coverage_worst,raw_normalized_expression,0.8466666666666667,0.8774437683963545,0.49333333333333335,0.2085548795074657
crossline:A549+MCF7,0.9,global_energy,matched_control_referenced,0.9733333333333334,0.9866666666666667,0.62,0.31777777777777777
crossline:A549+MCF7,0.9,global_energy,raw_normalized_expression,1.0,1.0,0.6466666666666666,0.3311111111111111
crossline:A549+MCF7,0.9,mmd_rbf,matched_control_referenced,0.9933333333333333,0.9966666666666667,0.64,0.3277777777777778
crossline:A549+MCF7,0.9,mmd_rbf,raw_normalized_expression,0.9933333333333333,0.9966666666666667,0.64,0.3277777777777778
crossline:A549+MCF7,0.9,sliced_wasserstein,matched_control_referenced,0.84,0.9061746031746032,0.4866666666666667,0.23728571428571427
crossline:A549+MCF7,0.9,sliced_wasserstein,raw_normalized_expression,0.8733333333333333,0.9241111111111112,0.52,0.2552222222222222
crossline:K562+A549,0.5,coverage_mean,matched_control_referenced,0.9733333333333334,0.9855555555555556,0.32,0.18455555555555556
