panel,metric,scope,statistic,old_point_estimate,old_ci_low,old_ci_high,old_query_level_p,corrected_point_estimate,corrected_cluster_ci_low,corrected_cluster_ci_high,corrected_drug_level_p,one_row_per_drug_point,n_queries,n_drugs,n_biological_drugs_excluding_pooled,n_pooled_rows,cluster_inference_status,conclusion_changed,scorer,reference_scorer,point_sign_changed_vs_drug,cluster_ci_excludes_zero,direction_of_conclusion,manuscript_consequence,divergence_value_median,effect_median,frac_positive,frac_negative,frac_tied,corrected_bh_q,n_recommended_queries,n_no_call_queries
Fig3a-b,response_regret_difference,leave_drug_out/DART_mmd/mean_l2,mean,-0.016123032569885253,-0.03256945172945658,-0.0016132340033849074,0.0027708057068860574,-0.016123032569885253,-0.0325070356392673,-0.0012597225341094676,0.0760847767339192,0.0,600,130,,,,False,DART_mmd,mean_l2,True,True,negative,UNCHANGED,,,,,,,,
Fig3a-b,response_regret_difference,leave_drug_out/DART_sliced_wasserstein/mean_l2,median,0.0,-0.001373291015625,0.0,1.6155697920629665e-07,0.0,-0.0015850067138672014,0.0,0.00010356751101031733,0.0,600,130,,,,False,DART_sliced_wasserstein,mean_l2,False,False,includes_zero,UNCHANGED,,,,,,,,
Fig3a-b,response_regret_difference,leave_drug_out/DART_sliced_wasserstein/mean_l2,mean,-0.03297376791636149,-0.04631547399361929,-0.02011154127120972,1.6155697920629665e-07,-0.03297376791636149,-0.04655586074801707,-0.020711851594186037,0.00010356751101031733,0.0,600,130,,,,False,DART_sliced_wasserstein,mean_l2,True,True,negative,UNCHANGED,,,,,,,,
Fig3a-b,response_regret_difference,leave_drug_out/DART_coverage_mean/mean_l2,median,-0.035459041595459005,-0.053111076354980455,-0.016823768615722642,2.4036136571153985e-18,-0.035459041595459005,-0.052920341491699205,-0.017169952392578097,6.032862196642928e-13,-0.0498850345611572,600,130,,,,False,DART_coverage_mean,mean_l2,False,True,negative,UNCHANGED,,,,,,,,
Fig3a-b,response_regret_difference,leave_drug_out/DART_coverage_mean/mean_l2,mean,-0.1027842648824056,-0.13464010314146677,-0.0737135040362676,2.4036136571153985e-18,-0.1027842648824056,-0.14023848043267864,-0.07097585609033338,6.032862196642928e-13,-0.0498850345611572,600,130,,,,False,DART_coverage_mean,mean_l2,False,True,negative,UNCHANGED,,,,,,,,
Fig3a-b,response_regret_difference,leave_drug_out/DART_coverage_worst/mean_l2,median,-0.0476365089416504,-0.06039619445800785,-0.034780502319336,2.0698779444390348e-22,-0.0476365089416504,-0.0613994598388672,-0.03258752822875979,2.9793598063168183e-13,-0.05297946929931645,600,130,,,,False,DART_coverage_worst,mean_l2,False,True,negative,UNCHANGED,,,,,,,,
Fig3a-b,response_regret_difference,leave_drug_out/DART_coverage_worst/mean_l2,mean,-0.08030701955159505,-0.0997450431585312,-0.06077604349454244,2.0698779444390348e-22,-0.08030701955159505,-0.10338701064354572,-0.05932720995249166,2.9793598063168183e-13,-0.05297946929931645,600,130,,,,False,DART_coverage_worst,mean_l2,False,True,negative,UNCHANGED,,,,,,,,
Fig3a-b,moa_ndcg_difference,leave_drug_out/DART_energy/mean_cosine,median,0.0,0.0,0.0,0.6273582420619872,0.0,0.0,0.0,0.9039318532480756,0.0,600,130,,,,False,DART_energy,mean_cosine,False,False,includes_zero,UNCHANGED,,,,,,,,
Fig3a-b,moa_ndcg_difference,leave_drug_out/DART_energy/mean_cosine,mean,-0.013035078013782416,-0.02807775155312713,0.0017044092782528776,0.6273582420619872,-0.013035078013782416,-0.03635373828676638,0.009213396271780366,0.9039318532480756,0.0,600,130,,,,False,DART_energy,mean_cosine,True,False,includes_zero,UNCHANGED,,,,,,,,
Fig3a-b,moa_ndcg_difference,leave_drug_out/DART_mmd/mean_cosine,median,0.0,0.0,0.0,0.8923637827051529,0.0,0.0,0.0,0.6470401421434329,0.0,600,130,,,,False,DART_mmd,mean_cosine,False,False,includes_zero,UNCHANGED,,,,,,,,
Fig3a-b,moa_ndcg_difference,leave_drug_out/DART_mmd/mean_cosine,mean,-0.011083492068575585,-0.025707547605119105,0.003756529327713722,0.8923637827051529,-0.011083492068575585,-0.03402267943534773,0.010718184432596438,0.6470401421434329,0.0,600,130,,,,False,DART_mmd,mean_cosine,True,False,includes_zero,UNCHANGED,,,,,,,,
Fig3a-b,moa_ndcg_difference,leave_drug_out/DART_sliced_wasserstein/mean_cosine,median,0.0,0.0,0.0,0.34548812770174075,0.0,0.0,0.0,0.5624821608767245,0.0,600,130,,,,False,DART_sliced_wasserstein,mean_cosine,False,False,includes_zero,UNCHANGED,,,,,,,,
Fig3a-b,moa_ndcg_difference,leave_drug_out/DART_sliced_wasserstein/mean_cosine,mean,-0.01597277981923169,-0.031996203117286987,0.00014413465372376235,0.34548812770174075,-0.01597277981923169,-0.04245454830159286,0.008340228814473065,0.5624821608767245,0.0,600,130,,,,False,DART_sliced_wasserstein,mean_cosine,True,False,includes_zero,UNCHANGED,,,,,,,,
Fig3a-b,moa_ndcg_difference,leave_drug_out/DART_coverage_mean/mean_cosine,median,0.0,0.0,0.0,7.979550645617346e-05,0.0,-0.001588499241194155,0.0,0.0005286808815144806,0.0,600,130,,,,False,DART_coverage_mean,mean_cosine,False,False,includes_zero,UNCHANGED,,,,,,,,
Fig3a-b,moa_ndcg_difference,leave_drug_out/DART_coverage_mean/mean_cosine,mean,-0.03337382445278543,-0.047623423219940064,-0.019091560355395,7.979550645617346e-05,-0.03337382445278543,-0.055494996178056685,-0.012819470628614434,0.0005286808815144806,0.0,600,130,,,,False,DART_coverage_mean,mean_cosine,True,True,negative,UNCHANGED,,,,,,,,
Fig3a-b,moa_ndcg_difference,leave_drug_out/DART_coverage_worst/mean_cosine,median,0.0,0.0,0.0,0.007703863130368509,0.0,0.0,0.0,0.11922247817477058,0.0,600,130,,,,False,DART_coverage_worst,mean_cosine,False,False,includes_zero,WEAKEN CLAIM,,,,,,,,
Fig3a-b,moa_ndcg_difference,leave_drug_out/DART_coverage_worst/mean_cosine,mean,-0.02385654686783973,-0.038797165073305856,-0.00963520345539627,0.007703863130368509,-0.02385654686783973,-0.04443392635821434,-0.00438758869941018,0.11922247817477058,0.0,600,130,,,,False,DART_coverage_worst,mean_cosine,True,True,negative,WEAKEN CLAIM,,,,,,,,
Fig3a-b,moa_ndcg_difference,leave_drug_out/DART_energy/mean_l2,median,0.0,0.0,0.0,0.4426498582767894,0.0,0.0,0.0,0.4359277307147219,0.0,600,130,,,,False,DART_energy,mean_l2,False,False,includes_zero,UNCHANGED,,,,,,,,
