split_type,cell_line,heldout_drug,heldout_MoA,observed_library_fraction,seed,method,reference,n_candidates,top1,top1_is_mean_top1,decision_regret,population_minus_mean_regret_reduction,minority_state_coverage,population_minus_mean_minority_coverage,moa_ndcg,population_minus_mean_moa_ndcg,target_mrr,batch_coverage,candidate_assignment_changed_fraction,raw_vs_referenced_top1_changed,batch_coverage_minus_mean
leave_drug_out,A549,Givinostat (ITF2357),Cytoskeletal Signaling,1.0,0,DART_coverage_worst,raw_normalized_expression,187,Pracinostat (SB939),1,1.3493690490722656,0.0,0.8745010965893724,0.0,0.4448530294934502,-0.05108589097649624,1.0,,1.0,1,
leave_drug_out,A549,Givinostat (ITF2357),Cytoskeletal Signaling,1.0,0,DART_coverage_worst,matched_control_referenced,187,Dacinostat (LAQ824),0,0.40615272521972656,0.9432163238525391,0.9460950791835785,0.07159398259420613,0.3190952506395664,-0.17684366983038002,1.0,,1.0,1,
leave_drug_out,A549,MC1568,Cytoskeletal Signaling,1.0,0,DART_coverage_mean,raw_normalized_expression,187,Daphnetin,0,0.0354804992675781,-0.0354804992675781,0.9942491273467448,-0.000437793644751272,0.0,0.0,0.0217391304347826,,1.0,0,
leave_drug_out,A549,MC1568,Cytoskeletal Signaling,1.0,0,DART_coverage_mean,matched_control_referenced,187,Daphnetin,0,0.03547859191894531,-0.03547859191894531,0.9942491352558136,-0.00043778573568242773,0.11004588314904008,0.11004588314904008,0.3333333333333333,,1.0,0,
leave_drug_out,A549,MC1568,Cytoskeletal Signaling,1.0,0,DART_coverage_worst,raw_normalized_expression,187,Mesna,0,0.10260009765625,-0.10260009765625,0.9945270890597842,-0.0001598319317118735,0.0,0.0,0.0555555555555555,,1.0,1,
leave_drug_out,A549,MC1568,Cytoskeletal Signaling,1.0,0,DART_coverage_worst,matched_control_referenced,187,Daphnetin,0,0.03547859191894531,-0.03547859191894531,0.9942491352558136,-0.00043778573568242773,0.11004588314904008,0.11004588314904008,0.3333333333333333,,1.0,1,
leave_drug_out,A549,SRT2104 (GSK2245840),DNA Damage,1.0,0,DART_coverage_mean,raw_normalized_expression,187,MK-0752,0,0.2072257995605468,0.12632751464843758,0.989023664977098,9.55034663716603e-05,0.4666234168001789,0.31879392588472627,-1.0,,1.0,1,
leave_drug_out,A549,SRT2104 (GSK2245840),DNA Damage,1.0,0,DART_coverage_mean,matched_control_referenced,187,Mercaptopurine (6-MP),0,0.2716503143310547,0.06190299987792969,0.9887133240699768,-0.00021483744074957123,0.34445239307233994,0.19662290215688732,,,1.0,1,
leave_drug_out,A549,SRT2104 (GSK2245840),DNA Damage,1.0,0,DART_coverage_worst,raw_normalized_expression,187,AG-14361,0,0.0849857330322265,0.24856758117675787,0.9900186332767752,0.0010904717660488172,0.5224955967919311,0.37466610587647853,-1.0,,1.0,0,
leave_drug_out,A549,SRT2104 (GSK2245840),DNA Damage,1.0,0,DART_coverage_worst,matched_control_referenced,187,AG-14361,0,0.08498191833496094,0.24857139587402344,0.9900186359882355,0.0010904744775090958,0.42257499837058643,0.2747455074551338,,,1.0,0,
leave_drug_out,A549,PF-573228,Angiogenesis,1.0,0,DART_coverage_mean,raw_normalized_expression,187,Zileuton,0,0.228921890258789,0.00609779357910159,0.9914003592707424,-0.0015248843893164166,0.0,0.0,-1.0,,1.0,1,
leave_drug_out,A549,PF-573228,Angiogenesis,1.0,0,DART_coverage_mean,matched_control_referenced,187,Prednisone,0,0.08734321594238281,0.14767646789550778,0.991883397102356,-0.0010418465577028968,0.0,0.0,,,1.0,1,
leave_drug_out,A549,PF-573228,Angiogenesis,1.0,0,DART_coverage_worst,raw_normalized_expression,187,MK-5108 (VX-689),0,0.0634441375732421,0.1715755462646485,0.992851865279434,-7.337838062482227e-05,0.0,0.0,-1.0,,1.0,1,
leave_drug_out,A549,PF-573228,Angiogenesis,1.0,0,DART_coverage_worst,matched_control_referenced,187,Zileuton,0,0.22892379760742188,0.006095886230468722,0.9914003312587738,-0.0015249124012850501,0.0,0.0,,,1.0,1,
leave_drug_out,A549,Prednisone,Endocrinology & Hormones,1.0,0,DART_coverage_mean,raw_normalized_expression,187,RG108,0,0.1694087982177734,-0.057121276855468806,0.9928328398133348,-0.0010026375235555607,0.0,-0.1951900249960508,0.0056497175141242,,1.0,1,
leave_drug_out,A549,Prednisone,Endocrinology & Hormones,1.0,0,DART_coverage_mean,matched_control_referenced,187,PF-3845,0,0.12170600891113281,-0.009418487548828208,0.9943118691444397,0.00047639180754932564,0.0,-0.1951900249960508,0.005681818181818182,,1.0,1,
leave_drug_out,A549,Prednisone,Endocrinology & Hormones,1.0,0,DART_coverage_worst,raw_normalized_expression,187,CEP-33779,0,0.1554927825927734,-0.043205261230468806,0.991245823939407,-0.0025896533974834046,0.0,-0.1951900249960508,0.0057142857142857,,1.0,1,
leave_drug_out,A549,Prednisone,Endocrinology & Hormones,1.0,0,DART_coverage_worst,matched_control_referenced,187,PF-3845,0,0.12170600891113281,-0.009418487548828208,0.9943118691444397,0.00047639180754932564,0.0,-0.1951900249960508,0.005747126436781609,,1.0,1,
leave_drug_out,A549,Fasudil (HA-1077) HCl,Cell Cycle,1.0,0,DART_coverage_mean,raw_normalized_expression,187,Anacardic Acid,0,0.0174198150634765,1.199310302734375,0.9861406523864448,0.011342989929373992,0.11004588314904,-0.5704044892860393,-1.0,,1.0,1,
leave_drug_out,A549,Fasudil (HA-1077) HCl,Cell Cycle,1.0,0,DART_coverage_mean,matched_control_referenced,187,GSK J1,0,0.07244682312011719,1.1442832946777344,0.9863215386867523,0.01152387622968154,0.0,-0.6804503724350792,,,1.0,1,
