separation_scale,cells_per_source,seed,ari_kmeans_k2,sil_true_labels,n_total
2.0,400,12,0.26178013940057665,0.03359394248144952,800
2.0,400,13,0.2827203869653329,0.035651843358822766,800
2.0,400,14,0.338533274596568,0.04195756371029078,800
2.0,400,15,0.3622630799619629,0.041878337780824906,800
2.0,400,16,0.32125267454274653,0.0369369247117968,800
2.0,400,17,0.28809678865066857,0.03618546784083176,800
2.0,400,18,0.2935875095506474,0.03345827360048418,800
2.0,400,19,0.2801291345275366,0.034453238724561304,800
3.0,25,0,1.0,0.16582982126345958,50
3.0,25,1,1.0,0.17788631245814687,50
3.0,25,2,1.0,0.1746230302012156,50
3.0,25,3,1.0,0.20960513270287323,50
3.0,25,4,1.0,0.17574020108994634,50
3.0,25,5,1.0,0.1341017134713675,50
3.0,25,6,1.0,0.17569940407929432,50
3.0,25,7,1.0,0.1795213944919341,50
3.0,25,8,1.0,0.1919503633955879,50
3.0,25,9,1.0,0.1635202797902935,50
3.0,25,10,1.0,0.179854658295889,50
3.0,25,11,1.0,0.1802070701344957,50
3.0,25,12,1.0,0.1678960447467538,50
3.0,25,13,1.0,0.1992474012599458,50
3.0,25,14,1.0,0.16089211186314326,50
3.0,25,15,1.0,0.23985337201144744,50
3.0,25,16,1.0,0.16362681165964474,50
3.0,25,17,1.0,0.17111522312737837,50
3.0,25,18,1.0,0.15996877620827815,50
3.0,25,19,1.0,0.15739318774529573,50
3.0,50,0,1.0,0.10980840635000053,100
3.0,50,1,1.0,0.139834968147798,100
3.0,50,2,1.0,0.12914397344070744,100
3.0,50,3,1.0,0.1448787003615091,100
3.0,50,4,1.0,0.11662791755568624,100
3.0,50,5,1.0,0.11031332347666196,100
3.0,50,6,1.0,0.14937726774497417,100
3.0,50,7,1.0,0.15227174291487297,100
3.0,50,8,1.0,0.15518601218189332,100
3.0,50,9,0.9599960816486464,0.1289592053829007,100
3.0,50,10,1.0,0.1159469519586356,100
3.0,50,11,1.0,0.1466624059975956,100
3.0,50,12,1.0,0.12333927324571164,100
3.0,50,13,1.0,0.15376298609495986,100
3.0,50,14,1.0,0.14670515636191897,100
3.0,50,15,1.0,0.14843761065244082,100
3.0,50,16,1.0,0.11112595755363767,100
3.0,50,17,0.9599960816486464,0.1518204862853645,100
3.0,50,18,1.0,0.10081983855782392,100
3.0,50,19,1.0,0.13033387439257724,100
3.0,100,0,0.9799995050507551,0.08776573775861798,200
3.0,100,1,1.0,0.12480752828062552,200
3.0,100,2,0.8456292321864344,0.09185180297609281,200
3.0,100,3,0.9799995050507551,0.0880718712310676,200
3.0,100,4,0.8642193911693035,0.10127510084810531,200
3.0,100,5,0.845627049205166,0.08673641871833791,200
3.0,100,6,1.0,0.11313553247433894,200
3.0,100,7,0.9406017851434009,0.1006656618549166,200
3.0,100,8,0.9212046771339222,0.12331860955128883,200
3.0,100,9,0.8272360936522278,0.08336952815120661,200
3.0,100,10,0.7910627683863763,0.09299083649607866,200
3.0,100,11,0.9212046771339222,0.09128980576773536,200
3.0,100,12,0.9799995050507551,0.09787504804754825,200
3.0,100,13,0.9799995050507551,0.12772576379561232,200
3.0,100,14,0.9406017851434009,0.09881387951051178,200
3.0,100,15,0.9406017851434009,0.12152536464202662,200
3.0,100,16,0.9799995050507551,0.10254151176602079,200
3.0,100,17,0.9799995050507551,0.09392882745568322,200
3.0,100,18,1.0,0.0667886620698171,200
3.0,100,19,1.0,0.09516177650556859,200
3.0,200,0,0.8645622202138717,0.10231948693854004,400
3.0,200,1,0.8460154631767149,0.10081855422575059,400
3.0,200,2,0.8185735824268014,0.07718149075130787,400
3.0,200,3,0.8185744029296823,0.08838877578618776,400
3.0,200,4,0.8645617778331653,0.08394021730455316,400
3.0,200,5,0.6881296254607874,0.06798391074348079,400
3.0,200,6,0.8005305883172458,0.08236628339124334,400
3.0,200,7,0.6552609622065132,0.08089686492714916,400
3.0,200,8,0.8185744029296823,0.09778507637118995,400
3.0,200,9,0.6552373156288819,0.05850410383233494,400
3.0,200,10,0.7738413484537243,0.0909981732587583,400
3.0,200,11,0.7389585839491322,0.079843186360867,400
3.0,200,12,0.6311288233160451,0.07194526275831786,400
3.0,200,13,0.7826834105673758,0.08731113138965618,400
3.0,200,14,0.7048650473962228,0.08268565103147768,400
3.0,200,15,0.8833085931886043,0.10025841022714338,400
3.0,200,16,0.791583974457058,0.09021892116693467,400
3.0,200,17,0.8460154631767149,0.09370609272091757,400
3.0,200,18,0.8185744029296823,0.06913789410768585,400
3.0,200,19,0.7303634274093938,0.07796866117224982,400
