seed,query_drug,query_moa,n_query_cells,n_candidates,n_same_moa_candidates,query_silhouette,hit_at_1,moa_ndcg,sil_tertile
1,S-Ruxolitinib (INCB018424),JAK,120,180,15,0.04185750335454941,1.0,0.6935345372143774,high
1,Flavopiridol HCl,CDK,120,180,2,0.021633224561810493,0.0,0.18378686468004019,low
1,Sirtinol,Sirtuin,120,180,4,0.02501360885798931,0.0,0.2914778929268219,mid
1,Momelotinib (CYT387),JAK,120,180,15,0.042321596294641495,1.0,0.6862856804571726,high
1,AR-42,HDAC,120,180,22,0.03748587146401405,1.0,0.901220867946727,high
1,Divalproex Sodium,HDAC,120,180,22,0.028764648362994194,0.0,0.4348902701351979,mid
1,"Temsirolimus (CCI-779, NSC 683864)",mTOR,120,180,0,0.02318601682782173,0.0,0.0,low
1,Enzastaurin (LY317615),PKC,120,180,0,0.02843031845986843,0.0,0.0,mid
1,MK-5108 (VX-689),Aurora Kinase,120,180,11,0.06269440799951553,1.0,0.7358775352364036,high
1,GSK J1,Histone Demethylase,120,180,1,0.030864309519529343,0.0,0.18920035951687003,mid
1,Tofacitinib (CP-690550) Citrate,JAK,120,180,15,0.024814236909151077,1.0,0.5462489093227277,mid
1,Lenalidomide (CC-5013),TNF-alpha,120,180,0,0.023106176406145096,0.0,0.0,low
1,Fasudil (HA-1077) HCl,"Autophagy,ROCK",120,180,0,0.035181283950805664,0.0,0.0,high
1,Valproic acid sodium salt (Sodium valproate),"GABA Receptor,HDAC,Autophagy",120,180,0,0.030724812299013138,0.0,0.0,mid
1,Sorafenib Tosylate,"PDGFR,Raf,VEGFR",120,180,0,0.030007628723978996,0.0,0.0,mid
1,Decitabine,DNA Methyltransferase,120,180,2,0.03644447401165962,0.0,0.2079092931231412,high
1,ENMD-2076,"Aurora Kinase,FLT3,VEGFR",120,180,1,0.03435062617063522,1.0,1.0,high
1,Maraviroc,CCR,120,180,0,0.026591667905449867,0.0,0.0,mid
1,Resminostat,HDAC,120,180,22,0.03550627455115318,0.0,0.8067484840367142,high
1,PD173074,"FGFR,VEGFR",120,180,0,0.014261158183217049,0.0,0.0,low
1,Avagacestat (BMS-708163),"Beta Amyloid,Gamma-secretase",120,180,1,0.027884788811206818,0.0,0.17629143438888212,mid
1,Lapatinib (GW-572016) Ditosylate,"EGFR,HER2",120,180,1,0.021439362317323685,1.0,1.0,low
1,Nilotinib (AMN-107),Bcr-Abl,120,180,0,0.027841392904520035,0.0,0.0,mid
1,Ki8751,"c-Kit,PDGFR,VEGFR",120,180,0,0.035470589995384216,0.0,0.0,high
1,Ruxolitinib (INCB018424),JAK,120,180,15,0.019872499629855156,1.0,0.6590450736278471,low
1,Lomustine ,DNA/RNA Synthesis,120,180,7,0.020249223336577415,0.0,0.2989774141326054,low
1,Daphnetin,"PKA,EGFR,PKC",120,180,0,0.02487313747406006,0.0,0.0,mid
1,PD98059,MEK,120,180,2,0.022349735721945763,0.0,0.174307643276379,low
1,Regorafenib (BAY 73-4506),"c-RET,VEGFR",120,180,0,0.017336444929242134,0.0,0.0,low
1,JNJ-26854165 (Serdemetan),"E3 Ligase ,p53",120,180,0,0.021345853805541992,0.0,0.0,low
1,TGX-221,PI3K,120,180,0,0.025831367820501328,0.0,0.0,mid
1,Entacapone,Histone Methyltransferase,120,180,6,0.026974892243742943,0.0,0.30678870221985444,mid
1,A-366,Histone Methyltransferase,120,180,6,0.023079073056578636,0.0,0.33177668734392596,low
1,Ivosidenib (AG-120),IDH1,120,180,0,0.059906765818595886,0.0,0.0,high
1,MC1568,HDAC,120,180,22,0.024670949205756187,0.0,0.4472590261974935,mid
1,Cyclocytidine HCl,DNA/RNA Synthesis,120,180,7,0.04349691420793533,1.0,0.7695365817015588,high
1,Nintedanib (BIBF 1120),"FGFR,PDGFR,VEGFR",120,180,0,0.029345456510782242,0.0,0.0,mid
1,AMG-900,Aurora Kinase,120,180,11,0.04215935245156288,0.0,0.3763648796402814,high
1,(+)-JQ1,Epigenetic Reader Domain,120,180,2,0.021079953759908676,1.0,0.7550160946314525,low
1,Altretamine,DNA alkylator,120,180,2,0.024420754984021187,0.0,0.2906521267882778,mid
1,CEP-33779,JAK,120,180,15,0.024931101128458977,0.0,0.4797611752904912,mid
1,Prednisone ,"Glucocorticoid Receptor,Immunology & Inflammation related",120,180,0,0.022235151380300522,0.0,0.0,low
1,Triamcinolone Acetonide,Glucocorticoid Receptor,120,180,1,0.02669224701821804,1.0,1.0,mid
1,SGI-1776 free base,Pim,120,180,0,0.02924804762005806,0.0,0.0,mid
1,INO-1001 (3-Aminobenzamide),PARP,120,180,6,0.02415180578827858,0.0,0.3371510039456656,low
