split_type,cell_line,heldout_drug,observed_library_fraction,seed,ndcg_gain
leave_MoA_out,K562,Valproic acid sodium salt (Sodium valproate),0.9787234042553192,2,0.0
leave_MoA_out,K562,PD98059,0.9787234042553192,2,0.0
leave_MoA_out,K562,Clevudine,0.8723404255319149,2,0.0
leave_MoA_out,K562,ITSA-1 (ITSA1),0.7978723404255319,2,0.0
partial_library,K562,batch,0.2,2,0.0
partial_library,K562,batch,0.4,2,0.0
partial_library,K562,batch,0.6,2,0.0
leave_drug_out,K562,PHA-680632,1.0,3,-0.1381256471388474
leave_drug_out,K562,GSK1070916,1.0,3,-0.2528410271851775
leave_drug_out,K562,Busulfan,1.0,3,0.0636207881989518
leave_drug_out,K562,GSK-LSD1 2HCl,1.0,3,-0.3098457837883157
leave_drug_out,K562,"Fluorouracil (5-Fluoracil, 5-FU)",1.0,3,0.0
leave_drug_out,K562,Barasertib (AZD1152-HQPA),1.0,3,-0.0947883643695507
leave_drug_out,K562,Epothilone A,1.0,3,-0.2902597849695645
leave_drug_out,K562,Resminostat,1.0,3,0.0853669404022983
leave_drug_out,K562,Decitabine,1.0,3,-0.3627890231617389
leave_drug_out,K562,JNJ-7706621,1.0,3,0.0783982689786753
leave_drug_out,K562,Alendronate sodium trihydrate,1.0,3,0.0
leave_drug_out,K562,Triamcinolone Acetonide,1.0,3,0.0
leave_drug_out,K562,Ki16425,1.0,3,-0.3010299956639812
leave_drug_out,K562,Tazemetostat (EPZ-6438),1.0,3,-0.1826337183898899
leave_drug_out,K562,"Fedratinib (SAR302503, TG101348)",1.0,3,0.0636207881989517
leave_drug_out,K562,PF-573228,1.0,3,0.0694312219367772
leave_drug_out,K562,MK-5108 (VX-689),1.0,3,0.0093782839183829
leave_drug_out,K562,Regorafenib (BAY 73-4506),1.0,3,0.0157118957048436
leave_drug_out,K562,Amisulpride,1.0,3,0.0
leave_drug_out,K562,Meprednisone,1.0,3,0.0
leave_drug_out,K562,AZD1480,1.0,3,0.0
leave_drug_out,K562,Sirtinol,1.0,3,-0.2416140957407494
